timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,
"1715454598.902","0.611",,,,,
"1715454599.003","0.712",,,,,
"1715454599.105","0.813",,,,,
"1715454599.205","0.914",,,,,
"1715454599.292",,"4","14.2",,,
"1715454599.293",,,,"-18.120001","-57",
"1715454599.307","0.013",,,,,
"1715454599.407","0.114",,,,,
"1715454599.509","0.215",,,,,
"1715454599.609","0.316",,,,,
"1715454599.71","0.417",,,,,
"1715454599.811","0.518",,,,,
"1715454599.912","0.619",,,,,
"1715454600.017","0.72",,,,,
"1715454600.114","0.821",,,,,
"1715454600.215","0.922",,,,,
"1715454600.295",,"4",,,,
"1715454600.296",,,"1.4","-17.91","-76",
"1715454600.317","0.02",,,,,
"1715454600.418","0.121",,,,,
"1715454600.518","0.222",,,,,
"1715454600.62","0.323",,,,,
"1715454600.72","0.424",,,,,
"1715454600.821","0.525",,,,,
"1715454600.923","0.626",,,,,
"1715454601.023","0.727",,,,,
"1715454601.124","0.828",,,,,
"1715454601.226","0.929",,,,,
"1715454601.299",,"4",,,,
"1715454601.3",,,"-0.7","1.3","-91",
"1715454601.326","0.026",,,,,
"1715454601.427","0.127",,,,,
"1715454601.528","0.228",,,,,
"1715454601.633","0.329",,,,,
"1715454601.73","0.43",,,,,
"1715454601.831","0.531",,,,,
"1715454601.932","0.632",,,,,
"1715454602.033","0.733",,,,,
"1715454602.134","0.834",,,,,
"1715454602.235","0.935",,,,,
"1715454602.302",,"4","-0.7","0.98",,
"1715454602.303",,,,,"-84",
"1715454602.336","0.033",,,,,
"1715454602.438","0.134",,,,,
"1715454602.538","0.235",,,,,
"1715454602.639","0.336",,,,,
"1715454602.74","0.437",,,,,
"1715454602.841","0.538",,,,,
"1715454602.942","0.639",,,,,
"1715454603.043","0.74",,,,,
"1715454603.144","0.841",,,,,
"1715454603.245","0.942",,,,,
"1715454603.305",,"4","-1","-0.25",,
"1715454603.306",,,,,"-85",
"1715454603.346","0.04",,,,,
"1715454603.447","0.141",,,,,
"1715454603.548","0.242",,,,,
"1715454603.649","0.343",,,,,
"1715454603.751","0.444",,,,,
"1715454603.851","0.545",,,,,
"1715454603.952","0.646",,,,,
"1715454604.053","0.747",,,,,
"1715454604.154","0.848",,,,,
"1715454604.255","0.949",,,,,
"1715454604.307",,"4","-0.6","0.09","-93",
"1715454604.356","0.049",,,,,
"1715454604.457","0.15",,,,,
"1715454604.558","0.251",,,,,
"1715454604.659","0.352",,,,,
"1715454604.76","0.453",,,,,
"1715454604.861","0.554",,,,,
"1715454604.962","0.655",,,,,
"1715454605.064","0.756",,,,,
"1715454605.164","0.857",,,,,
"1715454605.265","0.958",,,,,
"1715454605.31",,"4","-0.4","0.28","-88",
"1715454605.369","0.057",,,,,
"1715454605.467","0.158",,,,,
"1715454605.568","0.259",,,,,
"1715454605.669","0.36",,,,,
"1715454605.771","0.461",,,,,
"1715454605.871","0.562",,,,,
"1715454605.973","0.663",,,,,
"1715454606.073","0.764",,,,,
"1715454606.174","0.865",,,,,
"1715454606.275","0.966",,,,,
"1715454606.314",,"4",,,,
"1715454606.315",,,"-0.5","-0.42","-91",
"1715454606.377","0.061",,,,,
"1715454606.477","0.162",,,,,
"1715454606.578","0.263",,,,,
"1715454606.679","0.364",,,,,
"1715454606.78","0.465",,,,,
"1715454606.881","0.566",,,,,
"1715454606.982","0.667",,,,,
"1715454607.083","0.768",,,,,
"1715454607.184","0.869",,,,,
"1715454607.285","0.97",,,,,
"1715454607.317",,"4","-0.4",,,
"1715454607.318",,,,"-0.05","-94",
"1715454607.386","0.068",,,,,
"1715454607.488","0.169",,,,,
"1715454607.588","0.27",,,,,
"1715454607.689","0.371",,,,,
"1715454607.79","0.472",,,,,
"1715454607.891","0.573",,,,,
"1715454607.992","0.674",,,,,
"1715454608.093","0.775",,,,,
"1715454608.194","0.876",,,,,
"1715454608.295","0.977",,,,,
"1715454608.32",,"4","-0.7","-0.87",,
"1715454608.321",,,,,"-94",
"1715454608.396","0.075",,,,,
"1715454608.497","0.176",,,,,
"1715454608.598","0.277",,,,,
"1715454608.699","0.378",,,,,
"1715454608.8","0.479",,,,,
"1715454608.901","0.58",,,,,
"1715454609.002","0.681",,,,,
"1715454609.103","0.782",,,,,
"1715454609.205","0.883",,,,,
"1715454609.305","0.984",,,,,
"1715454609.322",,"4","-0.8",,,
"1715454609.323",,,,"-0.64","-93",
"1715454609.406","0.083",,,,,
"1715454609.507","0.184",,,,,
"1715454609.608","0.285",,,,,
"1715454609.709","0.386",,,,,
"1715454609.81","0.487",,,,,
"1715454609.911","0.588",,,,,
"1715454610.012","0.689",,,,,
"1715454610.113","0.79",,,,,
"1715454610.214","0.891",,,,,
"1715454610.315","0.992",,,,,
"1715454610.326",,"4","-0.7","-0.03",,
"1715454610.327",,,,,"-98",
"1715454610.416","0.089",,,,,
"1715454610.517","0.19",,,,,
"1715454610.618","0.291",,,,,
"1715454610.719","0.392",,,,,
"1715454610.82","0.493",,,,,
"1715454610.921","0.594",,,,,
"1715454611.022","0.695",,,,,
"1715454611.124","0.796",,,,,
"1715454611.224","0.897",,,,,
"1715454611.325","0.998",,,,,
"1715454611.331",,"4",,,,
"1715454611.332",,,"-0.6","-0.24","-97",
"1715454611.426","0.094",,,,,
"1715454611.527","0.195",,,,,
"1715454611.628","0.296",,,,,
"1715454611.729","0.397",,,,,
"1715454611.831","0.498",,,,,
"1715454611.932","0.599",,,,,
"1715454612.032","0.7",,,,,
"1715454612.133","0.801",,,,,
"1715454612.234","0.902",,,,,
"1715454612.336","1.003","4",,,,
"1715454612.337",,,"-0.5","-0.28",,
"1715454612.338",,,,,"-100",
"1715454612.436","0.098",,,,,
"1715454612.537","0.199",,,,,
"1715454612.638","0.3",,,,,
"1715454612.74","0.401",,,,,
"1715454612.841","0.502",,,,,
"1715454612.941","0.603",,,,,
"1715454613.042","0.704",,,,,
"1715454613.143","0.805",,,,,
"1715454613.244","0.906",,,,,
"1715454613.339",,"4","-0.7","-0.69",,
"1715454613.34",,,,,"-94",
"1715454613.345","0.005",,,,,
"1715454613.446","0.106",,,,,
"1715454613.547","0.207",,,,,
"1715454613.648","0.308",,,,,
"1715454613.749","0.409",,,,,
"1715454613.85","0.51",,,,,
"1715454613.951","0.611",,,,,
"1715454614.052","0.712",,,,,
"1715454614.153","0.813",,,,,
"1715454614.254","0.914",,,,,
"1715454614.341",,"4","-0.7",,,
"1715454614.342",,,,"0.13","-98",
"1715454614.355","0.013",,,,,
"1715454614.456","0.114",,,,,
"1715454614.559","0.215",,,,,
"1715454614.658","0.316",,,,,
"1715454614.759","0.417",,,,,
"1715454614.859","0.518",,,,,
"1715454614.96","0.619",,,,,
"1715454615.061","0.72",,,,,
"1715454615.163","0.821",,,,,
"1715454615.264","0.922",,,,,
"1715454615.343",,"4",,,,
"1715454615.344",,,"-0.6",,,
"1715454615.345",,,,"0.07","-94",
"1715454615.365","0.021",,,,,
"1715454615.466","0.122",,,,,
"1715454615.567","0.223",,,,,
"1715454615.668","0.324",,,,,
"1715454615.769","0.425",,,,,
"1715454615.87","0.526",,,,,
"1715454615.971","0.627",,,,,
"1715454616.072","0.728",,,,,
"1715454616.173","0.829",,,,,
"1715454616.274","0.93",,,,,
"1715454616.347",,"4","-0.6","-0.13",,
"1715454616.348",,,,,"-94",
"1715454616.374","0.027",,,,,
"1715454616.476","0.128",,,,,
"1715454616.576","0.229",,,,,
"1715454616.678","0.33",,,,,
"1715454616.779","0.431",,,,,
"1715454616.879","0.532",,,,,
"1715454617.002","0.633",,,,,
"1715454617.082","0.734",,,,,
"1715454617.183","0.835",,,,,
"1715454617.284","0.936",,,,,
"1715454617.348",,"4","-0.6","-0.16",,
"1715454617.349",,,,,"-102",
"1715454617.385","0.036",,,,,
