checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,  imutemp, barotemp, state,checksum2
101,415388,415195,0,0,-0.142267,-0.101117,-9.891514,0.275707,1.756638,0.208598,-3.690994,28.576834,-42.692196,-1367.000000,1479.000000,-2921.000000,83.672754,-1.976335,110.718220,0.432913,0.368519,-0.555988,0.606349,1213.326050,87483.859375,0.353543,1729.280151,32.000000,34.541729,1,202
101,415547,415457,0,0,-0.158228,-0.100097,-9.869494,-0.108859,1.919657,-0.357511,-3.849878,28.445248,-41.581409,-1393.000000,1456.000000,-2845.000000,83.763971,-2.032621,110.659166,0.433197,0.368846,-0.556484,0.605491,1213.154053,87485.695312,0.542823,1729.280151,32.000000,34.523201,1,202
101,415706,415537,0,0,-0.150183,-0.092511,-9.879823,-0.140705,1.831580,-0.609899,-3.831545,28.428085,-42.662964,-1390.000000,1453.000000,-2919.000000,83.755912,-2.047546,110.580114,0.433712,0.369119,-0.556241,0.605181,1213.566528,87481.296875,1.027715,1729.280151,32.000000,34.578785,1,202
101,415868,415670,0,0,-0.137265,-0.102033,-9.875864,-0.614394,1.864619,-0.172319,-3.764325,28.622601,-41.771412,-1379.000000,1487.000000,-2858.000000,83.759648,-2.122090,110.559384,0.434161,0.368831,-0.556463,0.604829,1213.253662,87484.632812,0.469837,1729.280151,32.000000,34.550991,1,202
101,416031,415932,0,0,-0.161467,-0.087365,-9.884402,-0.091167,1.681291,-0.250590,-3.684883,28.491018,-42.312191,-1366.000000,1465.000000,-2897.000000,83.853495,-2.028697,110.453175,0.433978,0.370206,-0.556278,0.604291,1213.387207,87483.210938,0.271781,1729.280151,32.000000,34.597309,1,202
101,416251,416012,0,0,-0.154638,-0.085746,-9.880470,-0.103679,2.123240,-0.180236,-3.684883,28.571114,-42.005260,-1366.000000,1478.000000,-2874.000000,83.710040,-2.094072,110.416831,0.434941,0.369486,-0.555641,0.604625,1213.392822,87483.148438,0.589257,1729.280151,32.000000,34.555626,1,202
101,416416,416333,0,0,-0.182748,-0.102502,-9.881395,0.255280,1.675126,-0.318722,-3.678771,28.439526,-41.800644,-1365.000000,1455.000000,-2860.000000,83.876410,-2.042328,110.371807,0.434397,0.370615,-0.556185,0.603824,1213.057251,87486.726562,0.096168,1729.280151,32.000000,34.523201,1,202
101,416580,416411,0,0,-0.138470,-0.085935,-9.875394,0.861806,1.839162,-0.461667,-3.727659,28.616880,-42.136803,-1373.000000,1486.000000,-2883.000000,83.813654,-1.936946,110.309228,0.434432,0.371248,-0.555270,0.604252,1213.199829,87485.203125,0.471966,1729.280151,32.000000,34.597309,1,202
101,416743,416546,0,0,-0.130999,-0.099396,-9.868249,0.170525,0.736165,-0.740531,-3.764325,28.462410,-41.873722,-1361.000000,1437.000000,-2846.000000,83.918218,-1.867228,110.216440,0.434253,0.372469,-0.555267,0.603632,1213.178955,87485.429688,-0.148507,1729.280151,32.000000,34.555626,1,202
101,416907,416808,0,0,-0.164493,-0.187148,-9.927974,0.594911,1.885968,-0.293520,-3.361004,28.536785,-42.546040,-1313.000000,1472.000000,-2911.000000,83.931154,-1.773651,110.166546,0.434031,0.373263,-0.554832,0.603701,1213.426270,87482.796875,1.082689,1729.280151,32.000000,34.611206,1,202
101,417076,416894,0,0,-0.152705,-0.114852,-9.885925,0.376555,1.796266,-0.589051,-3.580997,28.491018,-42.619118,-1349.000000,1464.000000,-2916.000000,83.883015,-1.729005,110.084440,0.434410,0.373717,-0.554148,0.603776,1213.054443,87486.757812,0.189008,1729.280151,32.000000,34.574150,1,202
101,417243,417029,0,0,-0.142847,-0.094124,-9.876835,1.163400,1.685756,-0.045862,-3.953763,28.405199,-41.216019,-1410.000000,1449.000000,-2820.000000,83.826570,-1.586682,110.078525,0.433953,0.374296,-0.553312,0.604512,1213.279663,87484.359375,0.312699,1729.280151,32.000000,34.546360,1,202
101,417409,417309,0,0,-0.159751,-0.177849,-9.935926,0.998418,2.551620,-0.184600,-3.654328,28.571114,-41.742180,-1361.000000,1478.000000,-2856.000000,83.646164,-1.418589,110.095505,0.433659,0.374434,-0.551799,0.606019,1213.439819,87482.648438,0.249510,1729.280151,32.000000,34.611206,1,202
101,417637,417389,0,0,-0.129370,-0.106780,-9.889483,0.381679,1.465838,-0.018601,-3.666550,28.302221,-41.815262,-1363.000000,1431.000000,-2861.000000,83.579140,-1.377357,110.092834,0.433697,0.374414,-0.551284,0.606472,1213.050537,87486.796875,-0.598210,1729.280151,32.000000,34.564888,1,202
101,417816,417708,0,0,-0.162974,-0.089014,-9.883015,0.324083,1.060326,0.178418,-3.739881,28.416643,-41.742180,-1375.000000,1451.000000,-2856.000000,83.738331,-1.237539,110.104603,0.432453,0.375710,-0.551652,0.606225,1213.092896,87486.343750,-0.071679,1729.280151,32.000000,34.546360,1,202
101,417986,417816,0,0,-0.150439,-0.096976,-9.877716,0.196959,0.799903,0.152606,-3.654328,28.473852,-41.815262,-1361.000000,1461.000000,-2861.000000,83.815116,-1.190088,110.133501,0.431823,0.376115,-0.551979,0.606125,1213.472656,87482.296875,0.856883,1729.280151,32.000000,34.606575,1,202
101,418156,417952,0,0,-0.166165,-0.089397,-9.873890,-0.023865,2.010804,0.406023,-3.684883,28.628323,-41.756798,-1366.000000,1488.000000,-2857.000000,83.777837,-1.223133,110.189523,0.431806,0.375527,-0.552087,0.606404,1213.215210,87485.039062,-0.001212,1729.280151,32.000000,34.541729,1,202
101,418330,418230,0,0,-0.130843,-0.186655,-9.930441,-0.506363,1.175372,-0.565874,-3.831545,28.376596,-41.216019,-1390.000000,1444.000000,-2820.000000,83.852402,-1.249865,110.151547,0.431889,0.375848,-0.552455,0.605811,1213.401367,87483.054688,1.282554,1729.280151,32.000000,34.620468,1,202
101,418525,418446,0,0,-0.136885,-0.086111,-9.885562,-0.585220,1.861851,0.292111,-3.874321,28.565392,-41.844490,-1397.000000,1477.000000,-2863.000000,83.922876,-1.324958,110.146568,0.432040,0.375735,-0.553086,0.605197,1212.983154,87487.515625,-0.585822,1729.280151,32.000000,34.569519,1,202
101,418703,418525,0,0,-0.154453,-0.086410,-9.880816,-0.845180,1.842093,0.185665,-3.721548,28.593996,-41.318329,-1372.000000,1482.000000,-2827.000000,83.931735,-1.454280,110.174810,0.432475,0.374939,-0.553698,0.604820,1213.343018,87483.679688,0.315858,1729.280151,32.000000,34.629734,1,202
101,418882,418664,0,0,-0.128541,-0.098415,-9.891080,0.727625,1.599995,0.259966,-3.800990,28.542507,-42.736042,-1385.000000,1473.000000,-2924.000000,83.892003,-1.369465,110.212117,0.432006,0.375064,-0.553300,0.605441,1213.147217,87485.765625,0.275861,1729.280151,32.000000,34.583416,1,202
101,419110,419012,0,0,-0.128669,-0.187006,-9.950110,-0.557695,2.016725,0.498874,-3.910986,28.445248,-41.990646,-1403.000000,1456.000000,-2873.000000,83.729868,-1.403404,110.272468,0.432377,0.373979,-0.552764,0.606336,1213.261597,87484.546875,0.086982,1729.280151,32.000000,34.615837,1,202
101,419290,419092,0,0,-0.145194,-0.117012,-9.900044,-1.464253,1.432467,-0.063309,-3.862099,28.565392,-42.180649,-1395.000000,1477.000000,-2886.000000,83.820976,-1.587880,110.268992,0.432972,0.373348,-0.553908,0.605256,1213.003540,87487.296875,-0.010264,1729.280151,32.000000,34.527832,1,202
101,419481,419393,0,0,-0.153476,-0.098991,-9.891873,-0.241978,1.255255,-0.465871,-3.672661,28.422363,-41.990646,-1364.000000,1452.000000,-2873.000000,83.914181,-1.519657,110.071511,0.433387,0.375021,-0.553506,0.604292,1212.918701,87488.203125,-0.637589,1729.280151,32.000000,34.541729,1,202
101,419663,419481,0,0,-0.149232,-0.094161,-9.879173,0.836432,1.560474,-0.779618,-3.837655,28.611158,-41.683720,-1391.000000,1485.000000,-2852.000000,83.857859,-1.412995,109.953847,0.433687,0.375947,-0.552433,0.604482,1213.239502,87484.781250,0.096694,1729.280151,32.000000,34.611206,1,202
101,419847,419624,0,0,-0.136844,-0.105033,-9.875329,-0.352550,1.796403,-0.155093,-3.898765,28.691256,-41.537563,-1401.000000,1499.000000,-2842.000000,83.844090,-1.474501,109.934149,0.434127,0.375661,-0.552521,0.604264,1213.336304,87483.750000,-0.196799,1729.280151,32.000000,34.550991,1,202
101,420029,419930,0,0,-0.143171,-0.188136,-9.939670,-0.016120,1.744483,-0.037653,-3.935430,28.651207,-41.815262,-1407.000000,1492.000000,-2861.000000,83.786668,-1.474216,110.010497,0.433911,0.375077,-0.552467,0.604831,1213.489014,87482.125000,0.503868,1729.280151,32.000000,34.592678,1,202
101,420243,420155,0,0,-0.133270,-0.105839,-9.888083,0.144096,2.243726,-0.135427,-3.709326,28.393759,-41.742180,-1370.000000,1447.000000,-2856.000000,83.799154,-1.462103,109.976270,0.433993,0.375354,-0.552377,0.604683,1213.108276,87486.179688,-0.105189,1729.280151,32.125000,34.550991,1,202
101,420432,420243,0,0,-0.149576,-0.098190,-9.885759,-0.302870,1.305142,-0.638388,-3.770435,28.634045,-41.756798,-1380.000000,1489.000000,-2857.000000,83.836283,-1.502395,109.881440,0.434562,0.375736,-0.552409,0.604007,1213.375244,87483.335938,0.104719,1729.280151,32.125000,34.625103,1,202
101,420675,420388,0,0,-0.151683,-0.096637,-9.882693,0.602569,2.022344,-0.220077,-3.807101,28.445248,-42.385269,-1386.000000,1456.000000,-2900.000000,83.654060,-1.454855,109.837276,0.435168,0.375512,-0.551129,0.604879,1213.032959,87486.984375,0.160514,1729.280151,32.125000,34.574150,1,202
101,420906,420806,0,0,-0.152143,-0.180994,-9.929516,-0.726613,1.504915,-0.505050,-3.752103,28.605440,-42.195263,-1377.000000,1484.000000,-2887.000000,83.755721,-1.540720,109.742719,0.435738,0.375893,-0.551671,0.603737,1212.930542,87488.078125,-0.650594,1729.280151,32.125000,34.555626,1,202
101,421072,420885,0,0,-0.146196,-0.118595,-9.895710,-0.432347,1.816861,-0.096364,-3.654328,28.433807,-42.765274,-1361.000000,1454.000000,-2926.000000,83.760734,-1.596846,109.732959,0.436038,0.375658,-0.551871,0.603483,1213.067993,87486.609375,0.046875,1729.280151,32.125000,34.513939,1,202
101,421230,421148,0,0,-0.174125,-0.092783,-9.881560,-0.113440,2.105370,-0.412072,-3.892653,28.496737,-42.209881,-1400.000000,1465.000000,-2888.000000,83.836720,-1.599248,109.758476,0.435666,0.375811,-0.552364,0.603206,1213.270630,87484.453125,0.383006,1729.280151,32.125000,34.560257,1,202
101,421388,421228,0,0,-0.166171,-0.084757,-9.875592,1.305616,1.653083,0.438889,-3.684883,28.714140,-42.166035,-1366.000000,1503.000000,-2885.000000,83.789079,-1.442511,109.816669,0.434776,0.376190,-0.551728,0.604193,1213.536011,87481.625000,0.630708,1729.280151,32.125000,34.629734,1,202
101,421554,421360,0,0,-0.157656,-0.084021,-9.888935,0.491004,2.022815,0.320565,-3.587108,28.651207,-41.961414,-1350.000000,1492.000000,-2871.000000,83.735578,-1.404712,109.858941,0.434550,0.375986,-0.551446,0.604740,1213.542236,87481.554688,0.943414,1729.280151,32.125000,34.588047,1,202
