{uptime mp, euler x, euler y, euler z},
{345517,84.561328,-1.876479,116.730747},
{345691,84.657859,-1.906564,116.670423},
{345864,84.809735,-1.839964,116.456966},
{346041,84.825820,-1.835198,116.388035},
{346217,84.806777,-1.779543,116.318408},
{346397,84.767367,-1.712505,116.305991},
{346578,84.898145,-1.784077,116.347929},
{346819,84.888603,-1.919322,116.297276},
{347001,84.912994,-1.870385,116.226829},
{347185,84.872907,-1.948840,116.184072},
{347370,85.003828,-2.053483,116.108708},
{347555,84.860552,-2.160159,116.154347},
{347742,84.954624,-2.272996,116.128802},
{347982,84.874588,-2.344874,116.137572},
{348159,84.925691,-2.343456,116.082562},
{348374,84.975306,-2.504033,115.956285},
{348531,84.928710,-2.517356,115.938308},
{348689,84.996937,-2.509823,115.878257},
{348854,84.865701,-2.398134,115.839844},
{349014,84.835997,-2.418884,115.872834},
{349175,84.850122,-2.497279,115.906207},
{349337,84.856269,-2.402636,115.884377},
{349532,84.920725,-2.430116,115.872247},
{349749,84.763208,-2.631874,115.862848},
{349914,84.713969,-2.685434,115.846497},
{350077,84.739575,-2.668945,115.857097},
{350245,84.739350,-2.676174,115.843902},
{350416,84.741290,-2.742495,115.761980},
{350586,84.767224,-2.700247,115.670060},
{352657,85.641543,-1.590002,115.236520},
{354731,86.360598,-1.082981,114.956114},
{356873,86.828356,-1.094510,114.181994},
{358945,86.437191,-0.869822,113.840122},
{361020,86.751920,-0.697694,113.385040},
{363097,86.927462,-0.945407,113.358860},
{365178,86.800448,-0.878210,113.090659},
{367260,86.606013,-0.969781,112.842819},
{369342,86.671679,-0.841201,113.065428},
{371421,86.607769,-0.868712,112.830060},
{373556,86.650703,-0.855452,112.834869},
{375634,86.509523,-1.082544,111.794808},
{377713,86.452054,-0.967391,112.754750},
{379795,86.516005,-1.036483,112.659797},
{381879,86.141055,-0.626711,112.635844},
{384025,86.081912,-0.538141,112.230800},
{386081,86.171087,-0.813882,111.800375},
{388140,86.345578,-0.562784,111.570894},
{390255,86.320218,-0.399979,111.182297},
{392316,86.385815,-0.739868,111.055816},
{394375,86.392406,-0.826841,111.203341},
{396438,86.631087,-0.682826,110.720823},
{398500,86.656652,-0.804390,110.638225},
{399702,86.674663,-1.044364,110.604723},
{399865,86.609722,-1.018241,110.610214},
{400031,86.568440,-1.053010,110.656475},
{400256,86.338229,-1.042366,110.686166},
{400421,86.138214,-0.962369,110.774829},
{400590,86.053369,-1.088722,110.782096},
{400757,85.950718,-1.082866,110.777438},
{400923,85.960465,-1.159218,110.853950},
{401093,85.993004,-1.227831,110.886543},
{401266,85.918063,-1.190307,110.891809},
{401442,85.888782,-1.277303,110.935509},
{401671,85.919948,-1.419481,111.072789},
{401844,85.825726,-1.372515,111.047633},
{402024,85.666097,-1.358691,110.952462},
{402202,85.620567,-1.456325,111.052551},
{402379,85.659868,-1.491160,111.020258},
{402560,85.544513,-1.364357,111.089578},
{402742,85.446677,-1.397002,111.074094},
{402922,85.378089,-1.451858,111.078957},
{403163,85.211780,-1.453003,111.115587},
{403341,85.270868,-1.431734,111.024383},
{403528,85.161777,-1.328137,110.994529},
{403710,85.099554,-1.319995,111.020654},
{403941,84.790870,-1.224575,111.036862},
{404097,84.768166,-1.084747,110.946178},
{404254,84.666424,-1.013810,110.877282},
{404413,84.506563,-1.022870,110.884795},
{404626,84.424779,-1.069287,110.888654},
{404786,84.296651,-1.043207,110.874836},
{404948,84.243581,-1.090225,110.918147},
{405111,84.234223,-1.240761,110.948739},
{405271,84.304274,-1.177212,110.876920},
{405434,84.203221,-1.129979,110.920114},
{405600,84.229169,-1.156383,110.913188},
{405766,84.206445,-1.222201,111.016385},
{405993,83.946037,-1.144175,111.053535},
{406164,84.061645,-1.209432,111.131057},
{406336,84.018410,-1.232890,111.114638},
{406506,83.899134,-1.290213,111.087501},
{406677,84.019154,-1.255105,111.122649},
{406852,83.980605,-1.059300,111.170789},
{407028,83.948045,-1.065506,111.054156},
{407203,84.098439,-1.271913,110.951102},
{407441,84.155451,-1.606788,111.085650},
{407614,84.221922,-1.510560,111.090746},
{407809,84.170170,-1.388417,111.074845},
{407988,84.217838,-1.303873,110.913878},
{408170,84.332475,-1.453986,110.972221},
{408349,84.399562,-1.366875,111.027805},
{408533,84.332906,-1.262891,111.073049},
{408716,84.371380,-1.166673,111.061485},
{408955,84.189629,-1.040081,111.137881},
{409136,84.258614,-1.078076,111.085964},
{409321,84.199717,-0.955448,111.211059},
{409557,84.008308,-1.072298,111.238612},
{409713,83.954254,-0.990059,111.246481},
{409869,83.897741,-0.989873,111.279949},
{410028,83.901306,-1.019313,111.355320},
{410188,83.912016,-0.940060,111.303766},
{410408,83.946713,-1.110875,111.261152},
{410568,84.074240,-1.112407,111.264868},
{410727,84.051529,-1.045194,111.319024},
{410890,83.879149,-1.038273,111.379922},
{411054,84.056181,-0.988837,111.346734},
{411222,84.088576,-0.981925,111.265113},
{411390,84.136756,-0.984455,111.256439},
{411556,84.176009,-1.057997,111.266336},
{411784,83.994449,-1.157087,111.369772},
{411954,84.012522,-1.092118,111.317843},
{412138,83.965674,-1.245931,111.295528},
{412306,84.047219,-1.162785,111.254014},
{412476,84.010883,-1.095057,111.305562},
{412648,83.968010,-1.218989,111.297605},
{412845,83.979450,-1.301287,111.227179},
{413019,84.061829,-1.474321,111.266903},
{413253,83.940006,-1.553746,111.075576},
{413429,84.002256,-1.479455,111.143208},
{413633,84.091957,-1.576710,111.136071},
{413811,83.991553,-1.494951,111.120607},
{413992,83.874286,-1.551911,111.075507},
{414169,83.722048,-1.334760,110.936622},
{414353,83.681709,-1.289649,110.961204},
{414535,83.699938,-1.399864,111.032416},
{414776,83.758651,-1.739631,110.979386},
{414963,83.750946,-1.874359,110.948302},
{415200,83.688614,-2.015313,110.689144},
{415388,83.672754,-1.976335,110.718220},
{415547,83.763971,-2.032621,110.659166},
{415706,83.755912,-2.047546,110.580114},
{415868,83.759648,-2.122090,110.559384},
{416031,83.853495,-2.028697,110.453175},
{416251,83.710040,-2.094072,110.416831},
{416416,83.876410,-2.042328,110.371807},
{416580,83.813654,-1.936946,110.309228},
{416743,83.918218,-1.867228,110.216440},
{416907,83.931154,-1.773651,110.166546},
{417076,83.883015,-1.729005,110.084440},
{417243,83.826570,-1.586682,110.078525},
{417409,83.646164,-1.418589,110.095505},
{417637,83.579140,-1.377357,110.092834},
{417816,83.738331,-1.237539,110.104603},
{417986,83.815116,-1.190088,110.133501},
{418156,83.777837,-1.223133,110.189523},
{418330,83.852402,-1.249865,110.151547},
{418525,83.922876,-1.324958,110.146568},
{418703,83.931735,-1.454280,110.174810},
{418882,83.892003,-1.369465,110.212117},
{419110,83.729868,-1.403404,110.272468},
{419290,83.820976,-1.587880,110.268992},
{419481,83.914181,-1.519657,110.071511},
{419663,83.857859,-1.412995,109.953847},
{419847,83.844090,-1.474501,109.934149},
{420029,83.786668,-1.474216,110.010497},
{420243,83.799154,-1.462103,109.976270},
{420432,83.836283,-1.502395,109.881440},
{420675,83.654060,-1.454855,109.837276},
{420906,83.755721,-1.540720,109.742719},
{421072,83.760734,-1.596846,109.732959},
{421230,83.836720,-1.599248,109.758476},
{421388,83.789079,-1.442511,109.816669},
{421554,83.735578,-1.404712,109.858941},
{421713,83.767311,-1.252330,109.894431},
{421875,83.687706,-1.184533,109.930337},
{422093,83.558028,-1.139388,109.908030},
{422259,83.687747,-1.118738,109.921533},
{422423,83.416752,-0.856830,109.833014},
{422589,83.450131,-0.850485,109.824408},
{422755,83.576531,-0.734969,109.951525},
{422925,83.643296,-0.732763,109.972391},
{423095,83.749710,-0.864543,109.980457},
{423263,83.963515,-0.998061,109.923835},
{423494,83.783834,-0.925555,109.913467},
{423671,83.738809,-0.898437,109.861516},
{423844,83.740052,-0.942724,109.923794},
{424019,83.825894,-0.964265,109.867547},
{424193,83.852969,-0.911978,109.843225},
{424372,83.883493,-0.926431,109.837433},
{424547,83.866718,-1.036854,109.919143},
{424723,83.759805,-1.049024,109.975055},
{424964,83.711987,-1.169930,109.975929},
{425147,83.672686,-1.069418,109.923207},
{425328,83.658773,-1.005177,109.903249},
{425511,83.777365,-1.183666,109.875423},
{425697,83.706960,-1.099072,109.821471},
{425883,83.856322,-1.073649,109.820788},
{426097,83.778889,-1.015205,109.816109},
{426280,83.806647,-0.963665,109.675045},
{426576,83.675049,-1.033593,109.816369},
{426730,83.672775,-0.860654,109.868135},
{426889,83.663540,-0.882863,109.814129},
{427047,83.566285,-0.932755,109.868108},
{427208,83.738891,-1.056395,109.994432},
{427369,83.771246,-1.103471,109.936751},
{427528,83.825409,-1.142399,109.882000},
{427690,83.849281,-1.043653,109.891897},
{427911,83.567173,-0.852543,109.856920},
{428073,83.519048,-0.769523,109.811144},
{428241,83.697288,-0.864039,109.765866},
{428407,83.678751,-0.979102,109.822892},
{428577,83.753139,-1.058570,109.833615},
{428743,83.910288,-1.105085,109.895053},
{428914,84.001013,-1.025411,109.849208},
{429086,84.026763,-1.025058,109.831300},
{429321,83.964383,-0.889328,109.778502},
{429498,83.915076,-0.890411,109.755703},
{429674,83.906565,-1.027501,109.726675},
{431750,85.367898,-0.997232,109.653073},
{433828,85.903795,-0.844989,109.441726},
{435903,86.442130,-0.699567,108.878693},
{437981,86.655771,-1.469451,113.461504},
{440059,86.016964,0.952708,113.736911},
{442198,85.870217,-1.820134,105.225648},
{444274,86.710973,-0.263567,105.663600},
{446353,86.546352,-0.173592,105.230047},
{448432,85.731769,-0.283839,111.545254},
{450540,86.244081,-0.646679,113.719761},
{452624,85.572401,-0.393289,110.905258},
{454711,85.886487,-0.322663,108.479742},
{456847,85.963251,-0.270673,106.043625},
{458961,94.293842,-4.105444,97.945746},
{461020,114.354435,3.378454,119.595656},
{463074,172.464599,-174.119062,-0.514383},
{465132,174.069270,-168.574669,-22.019536},
{467194,17.605731,5.974553,169.972946},
{469255,11.597961,7.136559,-165.972982},
{471317,31.645872,35.094601,155.663809},
{473376,34.643525,55.233841,-162.203100},
{475495,13.390605,57.731327,-146.403425},
{477558,1.840332,57.879030,-137.660400},
{479625,179.902456,124.603114,44.985074},
{481691,179.894998,127.165555,45.362616},
{483760,179.987902,130.344311,45.388475},
{485848,179.889984,133.343980,45.466599},
{487936,178.375540,135.711255,44.622343},
{490010,86.081140,10.129531,-112.371126},
{492138,100.734178,-38.896807,-78.433692},
{494208,108.539042,-45.574331,-70.266842},
{496286,105.912055,-54.737952,-73.154659},
{498358,112.897863,-68.705160,-71.449250},
{500430,101.355103,-67.089144,-73.873714},
{502507,163.568960,-15.989089,-7.946588},
{504589,173.967896,-5.814844,-28.771257},
{506667,0.519396,-179.815699,142.103739},
{508800,1.233876,179.825917,135.736103},
{510878,0.628602,145.720747,-174.760075},
{512953,94.523971,125.989342,109.285158},
{515039,95.974827,154.305776,115.431167},
{517123,96.936879,166.133970,121.804772},
{519224,94.800662,173.543687,129.624259},
{521354,93.718965,176.787876,133.680326},
{523410,79.925713,159.953345,102.425961},
{525526,76.267859,141.426361,111.316060},
{527582,8.661100,171.925437,161.601688},
{529641,5.314978,173.975683,151.630555},
{531703,3.719856,174.690872,147.263072},
{533762,2.817812,175.047380,144.876522},
{535823,2.488975,175.511410,143.718914},
{537901,2.316283,175.813591,143.105481},
{539989,2.080257,176.123545,142.918744},
{542110,2.457299,176.370374,142.915206},
{544170,2.210130,176.804856,142.939986},
{546253,2.219582,177.095303,142.793110},
{548341,2.107153,177.327571,142.841372},
{550429,2.042200,177.199641,142.832397},
{552517,2.309763,177.573881,143.491852},
{554605,2.253722,177.775412,143.138785},
{556680,1.858069,177.600710,143.086152},
{558814,1.864086,177.735920,143.083994},
{560885,2.275293,178.090790,143.113200},
{562958,2.440914,178.554027,142.921094},
{565030,2.135918,178.715083,143.137324},
{567103,1.655026,179.562367,143.560235},
{569178,177.821503,-3.596726,-43.127549},
{571260,2.676388,-177.064130,136.033872},
{573340,2.486223,-177.200133,129.818100},
{575480,2.511857,-177.698996,127.073498},
{577557,1.977981,-178.320352,125.804735},
{579634,1.788265,-178.401440,125.030793},
{581720,1.975399,-178.479195,124.856432},
{583801,2.028357,-179.273847,124.894203},
{585936,2.123216,-179.398129,124.486413},
{587995,0.915240,-179.851790,124.974430},
{590060,0.793281,-179.853880,126.113965},
{592174,0.944484,-179.733778,125.112222},
{594229,110.892329,-15.114652,-137.212353},
{596287,103.596737,-16.259918,-167.022509},
{598347,96.104634,-5.412813,-178.147603},
{600409,93.091073,-4.804215,-173.037488},
{602472,91.326760,-3.939695,-168.282337},
{604534,90.293626,-3.644772,-168.168997},
{606597,89.729930,-3.530681,-162.367120},
{608722,89.710532,-3.750299,-163.113346},
{610785,89.873118,-3.492759,-163.091626},
{612853,89.722601,-3.357079,-163.625583},
{614923,89.725572,-3.587845,-163.764154},
{616994,89.795507,-3.453690,-164.439195},
{619075,89.531185,-3.461557,-166.197969},
{621163,89.456477,-3.548434,-166.346785},
{623251,89.442365,-3.556837,-165.754102},
{625382,89.450411,-3.402595,-165.748638},
{627457,89.438575,-3.448473,-165.766902},
{629533,89.682351,-3.128047,-166.647176},
{631610,89.792857,-3.040866,-166.829338},
{633691,89.561737,-3.137269,-166.935192},
{635770,89.286009,-3.176449,-167.337067},
{637852,88.971697,-3.238285,-167.834700},
{639936,88.833727,-3.289190,-168.399735},
{642081,89.367063,-3.344772,-168.700741},
{642262,89.353949,-3.455189,-168.747104},
{642444,89.354153,-3.681097,-168.805803},
{642659,89.382581,-3.633460,-168.987964},
{642896,89.398434,-3.892902,-169.170931},
{643051,89.483401,-3.927431,-169.221174},
{643209,89.449537,-4.012385,-169.214918},
{643374,89.346429,-4.252953,-169.296689},
{643606,89.247480,-4.664853,-169.358925},
{643764,89.139795,-4.669686,-169.362436},
{643925,89.252513,-4.669445,-169.422323},
{644087,89.246496,-4.764587,-169.477457},
{644248,89.374296,-4.742358,-169.553859},
{644415,89.413071,-4.699508,-169.557711},
{644580,89.483107,-4.707819,-169.655287},
{644744,89.474829,-4.759067,-169.777930},
{644971,89.500436,-4.913482,-169.842421},
{645136,89.490450,-4.822152,-169.751484},
{645306,89.546321,-4.908440,-169.685286},
{645474,89.568478,-4.855758,-169.779105},
{645641,89.477281,-4.776972,-169.800169},
{645840,89.440050,-4.775683,-169.778886},
{646016,89.623652,-4.769965,-169.725761},
{646195,89.613250,-4.815602,-169.831452},
{646423,89.656792,-4.823304,-169.814335},
{646604,89.532100,-4.904971,-169.857734},
{646779,89.518665,-4.867714,-169.937825},
{646958,89.468996,-4.993486,-169.945898},
{647139,89.410400,-5.002472,-169.973506},
{647352,89.434463,-4.962637,-169.961717},
{647536,89.604801,-5.051669,-169.853896},
{647720,89.594248,-5.167826,-169.870165},
{647959,89.585758,-5.226836,-169.925913},
{648139,89.750673,-5.475684,-170.055195},
{648356,89.724507,-5.488022,-170.103184},
{648591,89.813689,-5.449302,-170.183616},
{648750,89.827226,-5.441835,-170.221360},
{648908,89.674052,-5.436044,-170.224106},
{649067,89.446641,-5.457769,-170.265783},
{649227,89.289308,-5.535392,-170.375367},
{649447,89.247705,-5.772216,-170.328034},
{649611,89.340397,-5.799630,-170.317624},
{649774,89.347801,-5.928861,-170.341353},
{649940,89.491686,-5.873124,-170.358619},
{650104,89.591393,-5.707253,-170.381623},
{650271,89.635503,-5.820612,-170.447466},
{650437,89.699379,-5.721483,-170.519457},
{650604,89.572112,-5.714351,-170.610599},
{650831,89.471926,-5.834627,-170.622005},
{651002,89.333840,-5.807052,-170.629409},
{651174,89.428760,-5.819681,-170.621800},
{651347,89.547024,-5.799349,-170.673532},
{651545,89.671047,-5.901579,-170.762242},
{651716,89.706537,-5.861065,-170.840844},
{651891,89.682727,-5.883829,-170.990016},
{652065,89.655542,-5.821748,-171.004591},
{652298,89.637033,-5.973406,-171.047157},
{652504,89.666464,-5.968092,-171.062074},
{652684,89.506378,-5.870819,-171.178215},
{652863,89.412668,-5.932438,-171.143176},
{653041,89.253019,-5.911941,-171.083794},
{653223,89.201635,-5.950696,-171.182094},
{653409,89.311813,-5.995016,-171.383475},
{653592,89.406568,-6.067696,-171.325911},
{653837,89.404553,-6.241853,-171.401125},
{654038,89.397033,-6.101059,-171.401425},
