index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired checksum2
26, 101,1329594374,-632841211,742463497,1614908416,14193777022378967040.000000,0.000046,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000023,0.000000,0.000000,0.000000,0.000000,0.000000,-11475085046.053574,0.000000,0.000000,0.000000,0.000000,0.000000,-238453647706056889114457800704.000000,-37778931862957161709568.000000,-8796256600064.000000,0.000000,-3546043148699074297856.000000,0.000000,-3165956.750000,0.000000,-2059699140,0.000000,184, 202
27, 101,3310,1068647407,1,42055,9.459566,2.009758,-0.005093,0.000000,-9.801000,2.927379,10.793607,4.970677,13.053469,0.470864,0.500662,559.806840,165.634396,-168.401838,56.308506,-0.092959,0.134399,0.086375,0.000000,21.652899,2003.652222,0.158081,0.000000,-0.040894,2003.693115,-0.123955,79883.070312,-0.245834,0,0.000000,0, 202
28, 101,3310,1068711857,1,46341,9.472548,1.967760,0.006210,0.000000,-9.801000,2.926009,11.274133,4.490152,13.095424,0.123338,1.054138,560.100483,165.108458,-168.167057,56.264387,-0.092828,0.139145,0.087749,0.000000,21.717575,2003.761963,0.323242,0.000000,0.068848,2003.693115,0.262740,79882.109375,-0.356227,0,0.000000,0, 202
29, 101,1055498240,0,1055498240,1096277881,0.000000,-9.801000,2.925869,0.000000,0.199093,-0.220847,100.000000,0.000000,0.000000,165.085672,-168.180308,56.263246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087602,0.000000,21.759153,0.000000,1.502722,2003.826416,0.139335,0.000000,1087086469,5.931729,97, 202
30, 101,3310,1068672675,1,52713,9.430259,1.973136,-0.000908,0.000000,-9.801000,2.925712,10.793607,5.451203,13.243905,0.171953,0.007340,557.776853,164.470122,-168.149258,56.224546,-0.092306,0.144625,0.087213,0.000000,21.814589,2003.809570,0.551758,0.000000,0.116455,2003.693115,-0.359638,79883.125000,0.010546,0,0.000000,0, 202
31, 101,3310,1068665678,1,56972,9.468991,1.951993,-0.008417,0.000000,-9.801000,2.928564,11.754659,4.490152,13.890269,-0.204729,-0.391169,559.676738,163.825502,-168.037420,56.186707,-0.090106,0.150090,0.087708,0.000000,21.870024,2004.177246,0.573242,0.000000,0.484131,2003.693115,0.493140,79877.523438,0.569078,0,0.000000,0, 202
32, 101,3310,1062317424,1,61345,8.555760,1.070397,-0.130309,0.000000,-9.801000,2.994310,8.871503,3.529100,10.336557,1.303226,-34.129554,496.254334,162.065636,-175.516792,56.424609,-0.066540,0.158170,0.027071,0.000000,21.906979,2004.382324,0.828369,0.000000,0.689209,2003.693115,-0.319948,79874.445312,-0.361647,0,0.000000,0, 202
33, 101,3330,0,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.295780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0, 202
34, 101,3330,1060020723,1,7613,8.883439,4.042581,-0.001751,0.000000,-9.801000,3.087088,11.274133,7.373307,14.513965,0.069824,-1.135884,560.572094,-176.806700,-161.099847,56.468152,-0.031442,-0.023003,0.164812,0.000000,21.542025,2005.108276,0.115967,0.000000,0.115967,2004.992310,133.407837,79866.742188,6.877958,0,0.000000,0, 202
35, 101,3330,1059886296,1,12277,8.888350,4.018764,0.002850,0.000000,-9.801000,2.730318,11.274133,6.412255,13.709363,-0.866747,0.629670,560.233535,179.591819,-174.713794,56.019005,-0.205010,0.013203,0.043210,0.000000,21.629801,2004.905029,0.372070,0.000000,-0.087280,2004.992310,-0.008550,79870.007812,-0.002712,0,0.000000,0, 202
36, 101,3330,1060037045,1,16474,8.890567,4.002224,-0.012447,0.000000,-9.801000,2.716441,10.313081,6.892781,13.175493,0.171003,-0.122518,559.995954,178.986951,-175.056218,55.956362,-0.210402,0.017732,0.040293,0.000000,21.694477,2004.715088,0.372070,0.000000,-0.277222,2004.992310,-0.645335,79877.890625,-0.010639,0,0.000000,0, 202
37, 101,3330,1059932241,1,20664,8.884457,3.996423,0.005486,0.000000,-9.801000,2.720484,11.754659,6.412255,14.265750,-0.310670,0.463060,559.516529,178.495984,-174.808269,55.975159,-0.208189,0.022287,0.041547,0.000000,21.759153,2004.572998,0.372070,0.000000,-0.419312,2004.992310,-0.662491,79873.007812,0.648521,0,0.000000,0, 202
38, 101,3330,1059910326,1,24990,8.891227,3.979018,-0.009070,0.000000,-9.801000,2.718862,10.313081,6.892781,13.345137,-0.754021,0.234143,559.457134,177.945197,-174.636981,55.960368,-0.208712,0.027326,0.041978,0.000000,21.796110,2004.373047,0.372070,0.000000,-0.619263,2004.992310,-0.427261,79877.789062,0.421904,0,0.000000,0, 202
39, 101,3330,1064449428,1,29189,7.726501,4.577315,-0.043650,0.000000,-9.801000,2.714955,9.352029,8.814884,13.597285,-5.600091,-9.382061,517.396447,178.074260,-171.352180,55.845112,-0.209834,0.032336,0.070128,0.000000,21.860785,2004.366211,0.372070,0.000000,-0.626099,2004.992310,0.479063,79874.859375,-1.022052,0,0.000000,0, 202
40, 101,-1425940954,16777216,-843207287,0,-0.000000,154744902987402116604100608.000000,-0.000000,0.000000,0.000000,0.000000,-23.866913,952531941189969797458165760.000000,-0.000000,876404995262013810616136296824832.000000,0.000000,-0.000000,-2164573350259753939369984.000000,0.000000,184741643922.809570,0.000000,0.000000,254520023328761703726051810621465296896.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-7393778827967785693525812707328.000000,-3270400.250000,33554432,0.000000,13, 202
