timestamp(ms),TotalValid,TotalErrors,AverageRAWResult,AverageDistance,Distance,RSSI,
"1750602818.515",,,,"0",,,
"1750602819.222","0",,,,,,
"1750602819.223",,"5","0","0",,,
"1750602819.927","0","5","0","0",,,
"1750602820.634","0","5","0","0",,,
"1750602821.341","0","5","0","0",,,
"1750602822.049","0","5","0",,,,
"1750602822.05",,,,"0",,,
"1750602822.754","0","5","0","0",,,
"1750602823.461","0","5","0",,,,
"1750602823.463",,,,"0",,,
"1750602824.168","0","5","0",,,,
"1750602824.169",,,,"0",,,
"1750602824.876","0","5","0","0",,,
"1750602825.581","0","5","0","0",,,
"1750602826.288","0","5","0","0",,,
"1750602826.996","0",,,,,,
"1750602826.997",,"5","0","0",,,
"1750602827.702","0","5","0","0",,,
"1750602828.408","0","5","0","0",,,
"1750602829.114","0","5","0",,,,
"1750602829.115",,,,"0",,,
"1750602829.823","0","5","0",,,,
"1750602829.824",,,,"0",,,
"1750602830.527","0","5","0",,,,
"1750602830.528",,,,"0",,,
"1750602831.236","0","5","0","0",,,
"1750602831.941","0","5","0","0",,,
"1750602832.647","0","5","0",,,,
"1750602832.648",,,,"0",,,
"1750602833.357","0","5","0","0",,,
"1750602834.06","0","5","0",,,,
"1750602834.061",,,,"0",,,
"1750602834.768","0","5","0","0",,,
"1750602835.474","0","5","0","0",,,
"1750602836.182","0","5","0","0",,,
"1750602836.887","0",,,,,,
"1750602836.888",,"5","0","0",,,
"1750602837.596","0","5","0","0",,,
"1750602838.3","0","5","0","0",,,
"1750602839.007","0","5","0","0",,,
"1750602839.714","0","5","0",,,,
"1750602839.715",,,,"0",,,
"1750602840.421","0","5","0",,,,
"1750602840.423",,,,"0",,,
"1750602841.128","0","5","0",,,,
"1750602841.129",,,,"0",,,
"1750602841.834","0","5","0",,,,
"1750602841.835",,,,"0",,,
"1750602842.541","0","5","0",,,,
"1750602842.542",,,,"0",,,
"1750602843.248","0","5","0","0",,,
"1750602843.956","0","5","0","0",,,
"1750602844.661","0","5","0","0",,,
"1750602845.367","0","5","0",,,,
"1750602845.368",,,,"0",,,
"1750602846.074","0","5","0","0",,,
"1750602846.781","0","5","0",,,,
"1750602846.782",,,,"0",,,
"1750602847.488","0","5","0","0",,,
"1750602848.194","0","5","0",,,,
"1750602848.195",,,,"0",,,
"1750602848.901","0","5","0","0",,,
"1750602849.607","0","5","0","0",,,
"1750602850.314","0","5","0","0",,,
"1750602851.022","0","5","0","0",,,
"1750602851.727","0","5","0",,,,
"1750602851.728",,,,"0",,,
"1750602852.434","0","5","0","0",,,
"1750602853.141","0",,,,,,
"1750602853.142",,"5","0","0",,,
"1750602853.847","0","5","0",,,,
"1750602853.848",,,,"0",,,
"1750602854.555","0","5","0","0",,,
"1750602855.261","0","5","0","0",,,
"1750602855.969","0",,,,,,
"1750602855.97",,"5","0","0",,,
"1750602856.674","0","5","0","0",,,
"1750602857.381","0","5","0","0",,,
"1750602858.087","0","5",,,,,
"1750602858.088",,,"0","0",,,
"1750602858.795","0","5","0","0",,,
"1750602859.501","0","5","0","0",,,
"1750602860.207","0",,,,,,
"1750602860.208",,"5",,,,,
"1750602860.209",,,"0","0",,,
"1750602860.916","0","5",,,,,
"1750602860.917",,,"0","0",,,
"1750602861.621","0","5","0","0",,,
"1750602862.327","0","5","0","0",,,
"1750602863.036","0","5","0","0",,,
"1750602863.741","0","5","0",,,,
"1750602863.742",,,,"0",,,
"1750602864.447","0","5","0",,,,
"1750602864.448",,,,"0",,,
"1750602865.153","0","5","0","0",,,
"1750602865.86","0","5","0","0",,,
"1750602866.566","0","5",,,,,
"1750602866.567",,,"0","0",,,
"1750602867.273","0","5","0","0",,,
"1750602867.981","0","5","0","0",,,
"1750602868.686","0","5","0","0",,,
"1750602869.393","0","5","0","0",,,
"1750602870.1","0","5","0","0",,,
"1750602870.808","0","5","0","0",,,
"1750602871.513","0","5","0","0",,,
"1750602872.22","0","5",,,,,
"1750602872.221",,,"0",,,,
"1750602872.222",,,,"0",,,
"1750602872.928","0","5","0","0",,,
"1750602873.633","0","5","0","0",,,
"1750602874.34","0","5","0","0",,,
"1750602875.046","0",,,,,,
"1750602875.047",,"5","0",,,,
"1750602875.048",,,,"0",,,
"1750602875.755","0","5","0","0",,,
"1750602876.46","0","5","0","0",,,
"1750602877.168","0","5","0",,,,
"1750602877.169",,,,"0",,,
"1750602877.875","0","5","0","0",,,
"1750602878.581","0","5",,,,,
"1750602878.582",,,"0","0",,,
"1750602879.286","0","5","0","0",,,
"1750602879.995","0","5","0","0",,,
"1750602880.7","0","5","0","0",,,
"1750602881.406","0","5","0","0",,,
"1750602882.113","0","5","0",,,,
"1750602882.114",,,,"0",,,
"1750602882.82","0","5","0",,,,
"1750602882.821",,,,"0",,,
"1750602883.526","0","5","0","0",,,
"1750602884.233","0","5","0","0",,,
"1750602884.939","0","5",,,,,
"1750602884.94",,,"0","0",,,
"1750602885.647","0","5","0","0",,,
"1750602886.353","0","5","0",,,,
"1750602886.355",,,,"0",,,
"1750602887.06","0","5","0","0",,,
"1750602887.766","0","5","0","0",,,
"1750602888.472","0","5",,,,,
"1750602888.473",,,"0","0",,,
"1750602889.179","0","5","0",,,,
"1750602889.18",,,,"0",,,
"1750602889.888","0","5","0","0",,,
"1750602890.593","0","5","0","0",,,
"1750602891.299","0","5","0",,,,
"1750602891.3",,,,"0",,,
"1750602892.007","0","5","0","0",,,
"1750602892.714","0","5",,,,,
"1750602892.715",,,"0","0",,,
"1750602893.419","0","5",,,,,
"1750602893.42",,,"0","0",,,
"1750602894.127","0","5","0","0",,,
"1750602894.833","0","5","0","0",,,
"1750602895.54","0","5","0","0",,,
"1750602896.247","0","5","0","0",,,
"1750602896.954","0","5","0","0",,,
"1750602897.66","0","5","0","0",,,
"1750602898.366","0","5","0","0",,,
"1750602899.074","0","5",,,,,
"1750602899.075",,,"0","0",,,
"1750602899.78","0",,,,,,
"1750602899.781",,"5","0","0",,,
"1750602900.486","0","5","0","0",,,
"1750602901.194","0","5","0","0",,,
"1750602901.901","0","5","0","0",,,
"1750602902.607","0","5","0","0",,,
"1750602903.312","0","5",,,,,
"1750602903.313",,,"0",,,,
"1750602903.314",,,,"0",,,
"1750602904.019","0","5","0",,,,
"1750602904.02",,,,"0",,,
"1750602904.727","0","5","0","0",,,
"1750602905.432","0","5","0","0",,,
"1750602906.14","0","5","0",,,,
"1750602906.141",,,,"0",,,
"1750602906.846","0",,,,,,
"1750602906.847",,"5","0","0",,,
"1750602907.554","0","5","0","0",,,
"1750602908.259","0","5","0","0",,,
"1750602908.966","0","5","0","0",,,
"1750602909.672","0","5","0","0",,,
"1750602910.379","0","5","0","0",,,
"1750602911.086","0","5","0","0",,,
"1750602911.792","0","5","0",,,,
"1750602911.793",,,,"0",,,
"1750602912.499","0",,,,,,
"1750602912.5",,"5","0","0",,,
"1750602913.206","0","5","0","0",,,
"1750602913.912","0","5","0","0",,,
"1750602914.62","0","5","0","0",,,
"1750602915.326","0","5","0","0",,,
"1750602916.034","0","5","0","0",,,
"1750602916.74","0","5","0","0",,,
"1750602917.446","0","5","0","0",,,
"1750602918.152","0","5","0",,,,
"1750602918.153",,,,"0",,,
"1750602918.859","0","5","0","0",,,
"1750602919.565","0",,,,,,
"1750602919.566",,"5","0","0",,,
"1750602920.272","0","5","0",,,,
"1750602920.273",,,,"0",,,
"1750602920.979","0","5","0","0",,,
"1750602921.685","0","5","0",,,,
"1750602921.686",,,,"0",,,
"1750602922.395","0","5","0",,,,
"1750602922.396",,,,"0",,,
"1750602923.099","0","5",,,,,
"1750602923.1",,,"0","0",,,
"1750602923.808","0","5","0","0",,,
"1750602924.513","0","5","0","0",,,
"1750602925.219","0","5",,,,,
"1750602925.22",,,"0","0",,,
"1750602925.926","0",,,,,,
"1750602925.927",,"5","0","0",,,
"1750602926.633","0","5","0","0",,,
"1750602927.339","0","5","0","0",,,
"1750602928.046","0","5",,,,,
"1750602928.047",,,"0","0",,,
"1750602928.753","0","5","0","0",,,
"1750602929.459","0","5","0","0",,,
"1750602930.166","0","5","0","0",,,
"1750602930.872","0","5","0",,,,
"1750602930.873",,,,"0",,,
"1750602931.581","0","5","0","0",,,
"1750602932.286","0","5","0",,,,
"1750602932.287",,,,"0",,,
"1750602932.994","0","5","0",,,,
"1750602932.995",,,,"0",,,
"1750602933.699","0","5","0","0",,,
"1750602934.406","0","5","0","0",,,
"1750602935.113","0","5","0","0",,,
"1750602935.821","0","5","0","0",,,
"1750602936.528","0","5","0","0",,,
"1750602937.233","0","5","0","0",,,
"1750602937.94","0","5","0","0",,,
"1750602938.646","0","5","0",,,,
"1750602938.647",,,,"0",,,
"1750602939.352","0",,,,,,
"1750602939.353",,"5","0","0",,,
"1750602940.059","0","5","0","0",,,
"1750602940.766","0","5","0","0",,,
"1750602941.472","0","5",,,,,
"1750602941.473",,,"0","0",,,
"1750602942.183","0",,,,,,
"1750602942.184",,"5","0",,,,
"1750602942.186",,,,"0",,,
"1750602942.888","0","5","0","0",,,
"1750602943.593","0","5","0","0",,,
"1750602944.299","0",,,,,,
"1750602944.3",,"5","0","0",,,
"1750602945.008","0","5","0","0",,,
"1750602945.713","0","5","0","0",,,
"1750602946.419","0",,,,,,
"1750602946.42",,"5","0","0",,,
"1750602947.126","0","5","0","0",,,
"1750602947.834","0","5","0","0",,,
"1750602948.54","0","5","0","0",,,
"1750602949.246","0","5","0",,,,
"1750602949.247",,,,"0",,,
"1750602949.955","0","5","0","0",,,
"1750602950.659","0","5","0","0",,,
"1750602951.366","0","5","0","0",,,
"1750602952.073","0","5","0","0",,,
"1750602952.779","0","5","0",,,,
"1750602952.78",,,,"0",,,
"1750602953.486","0","5","0","0",,,
"1750602954.193","0","5","0","0",,,
"1750602954.901","0","5","0","0",,,
"1750602955.607","0","5","0","0",,,
"1750602956.313","0","5","0",,,,
"1750602956.314",,,,"0",,,
"1750602957.019","0","5",,,,,
"1750602957.02",,,"0","0",,,
"1750602957.727","0","5","0",,,,
"1750602957.728",,,,"0",,,
"1750602958.434","0","5","0","0",,,
"1750602959.14","0","5","0",,,,
"1750602959.141",,,,"0",,,
"1750602959.846","0","5","0","0",,,
"1750602960.553","0","5","0","0",,,
"1750602961.26","0","5","0",,,,
"1750602961.262",,,,"0",,,
"1750602961.967","0","5",,,,,
"1750602961.968",,,"0","0",,,
"1750602962.674","0","5","0","0",,,
"1750602963.379","0",,,,,,
"1750602963.38",,"5","0","0",,,
"1750602964.087","0","5",,,,,
"1750602964.088",,,"0","0",,,
"1750602964.793","0","5","0","0",,,
"1750602965.499","0","5","0",,,,
"1750602965.5",,,,"0",,,
"1750602966.206","0",,,,,,
"1750602966.207",,"5","0","0",,,
"1750602966.915","0","5","0","0",,,
"1750602967.622","0","5","0","0",,,
"1750602968.326","0",,,,,,
"1750602968.327",,"5","0",,,,
"1750602968.328",,,,"0",,,
"1750602969.035","0","5","0","0",,,
"1750602969.739","0","5","0",,,,
"1750602969.74",,,,"0",,,
"1750602970.446","0","5","0","0",,,
"1750602971.153","0","5","0","0",,,
"1750602971.859","0","5","0",,,,
"1750602971.86",,,,"0",,,
"1750602972.566","0","5","0","0",,,
"1750602973.273","0","5","0",,,,
"1750602973.274",,,,"0",,,
"1750602973.981","0","5",,,,,
"1750602973.982",,,"0","0",,,
"1750602974.686","0","5","0","0",,,
"1750602975.393","0","5","0","0",,,
"1750602976.099","0","5",,,,,
"1750602976.1",,,"0","0",,,
"1750602976.806","0","5","0",,,,
"1750602976.807",,,,"0",,,
"1750602977.513","0","5","0","0",,,
"1750602978.221","0","5","0","0",,,
"1750602978.929","0","5","0","0",,,
"1750602979.632","0","5",,,,,
"1750602979.633",,,"0","0",,,
"1750602980.34","0","5","0","0",,,
"1750602981.048","0","5","0","0",,,
"1750602981.754","0","5","0","0",,,
"1750602982.459","0","5","0",,,,
"1750602982.46",,,,"0",,,
"1750602983.166","0","5","0","0",,,
"1750602983.872","0",,,,,,
"1750602983.873",,"5","0","0",,,
"1750602984.579","0",,,,,,
"1750602984.58",,"5","0","0",,,
"1750602985.286","0","5","0","0",,,
"1750602985.993","0","5","0",,,,
"1750602985.994",,,,"0",,,
"1750602986.699","0","5","0","0",,,
"1750602987.405","0","5","0","0",,,
"1750602988.112","0","5","0","0",,,
"1750602988.819","0","5","0","0",,,
"1750602989.525","0","5","0","0",,,
"1750602990.231","0","5",,,,,
"1750602990.232",,,"0","0",,,
"1750602990.938","0","5","0","0",,,
"1750602991.645","0","5","0","0",,,
"1750602992.352","0","5","0",,,,
"1750602992.354",,,,"0",,,
"1750602993.058","0",,,,,,
"1750602993.059",,"5","0","0",,,
"1750602993.767","0","5","0",,,,
"1750602993.768",,,,"0",,,
"1750602994.471","0",,,,,,
"1750602994.472",,"5","0","0",,,
"1750602995.178","0","5","0","0",,,
"1750602995.885","0","5","0","0",,,
"1750602996.592","0","5","0","0",,,
"1750602997.3","0","5","0","0",,,
"1750602998.005","0","5","0","0",,,
"1750602998.713","0","5","0","0",,,
"1750602999.419","0","5","0","0",,,
"1750603000.125","0","5","0",,,,
"1750603000.126",,,,"0",,,
"1750603000.832","0","5","0",,,,
"1750603000.833",,,,"0",,,
"1750603001.538","0","5","0","0",,,
"1750603002.245","0","5","0","0",,,
"1750603002.953","0","5","0","0",,,
"1750603003.661","0","5","0","0",,,
"1750603004.366","0","5","0","0",,,
"1750603005.072","0","5","0",,,,
"1750603005.073",,,,"0",,,
"1750603005.78","0","5","0","0",,,
"1750603006.485","0","5","0","0",,,
"1750603007.192","0","5","0","0",,,
"1750603007.9","0","5","0","0",,,
"1750603008.605","0","5","0","0",,,
"1750603009.311","0",,,,,,
"1750603009.312",,"5","0","0",,,
