seconds, altitude, temp,volts
13.4,2132,69.3F,8.2
13.45,2132,69.3F,8.2
13.5,2125,69.3F,8.2
13.55,2122,69.3F,8.2
13.6,2119,69.3F,8.2
13.65,2118,69.3F,8.2
13.7,2113,69.3F,8.2
13.75,2113,69.2F,8.2
13.8,2109,69.2F,8.2
13.85,2105,69.2F,8.2
13.9,2104,69.3F,8.2
13.95,2101,69.2F,8.2
14,2100,69.2F,8.2
14.05,2097,69.2F,8.2
14.1,2096,69.2F,8.2
14.15,2095,69.2F,8.2
14.2,2097,69.2F,8.2
14.25,2096,69.2F,8.2
14.3,2095,69.2F,8.2
14.35,2091,69.2F,8.2
14.4,2092,69.2F,8.2
14.45,2091,69.2F,8.2
14.5,2088,69.2F,8.2
14.55,2084,69.2F,8.2
14.6,2087,69.2F,8.2
14.65,2084,69.2F,8.2
14.7,2085,69.2F,8.2
14.75,2084,69.2F,8.2
14.8,2080,69.2F,8.2
14.85,2076,69.2F,8.2
14.9,2073,69.2F,8.2
14.95,2071,69.2F,8.2
15,2072,69.2F,8.2
15.05,2069,69.2F,8.2
15.1,2067,69.2F,8.2
15.15,2064,69.2F,8.2
15.2,2059,69.2F,8.2
15.25,2058,69.2F,8.2
15.3,2057,69.2F,8.2
15.35,2053,69.2F,8.2
15.4,2053,69.2F,8.2
15.45,2051,69.2F,8.2
15.5,2048,69.2F,8.2
15.55,2046,69.2F,8.2
15.6,2042,69.2F,8.2
15.65,2039,69.2F,8.2
15.7,2035,69.2F,8.2
15.75,2031,69.2F,8.2
15.8,2026,69.2F,8.2
15.85,2024,69.2F,8.2
15.9,2021,69.2F,8.2
15.95,2020,69.2F,8.2
16,2020,69.2F,8.2
16.05,2016,69.2F,8.2
16.1,2011,69.2F,8.2
16.15,2007,69.2F,8.2
16.2,2003,69.2F,8.2
16.25,1996,69.2F,8.2
16.3,1992,69.2F,8.2
16.35,1990,69.2F,8.2
16.4,1988,69.2F,8.2
16.45,1984,69.2F,8.2
16.5,1983,69.2F,8.2
16.55,1982,69.2F,8.2
16.6,1980,69.2F,8.2
16.65,1976,69.2F,8.2
16.7,1975,69.2F,8.2
16.75,1972,69.2F,8.2
16.8,1971,69.2F,8.2
16.85,1969,69.2F,8.2
16.9,1964,69.2F,8.2
16.95,1960,69.2F,8.2
17,1961,69.2F,8.2
17.05,1954,69.2F,8.2
17.1,1951,69.2F,8.2
17.15,1950,69.3F,8.2
17.2,1948,69.2F,8.2
17.25,1944,69.2F,8.2
17.3,1943,69.2F,8.2
17.35,1941,69.2F,8.2
17.4,1939,69.2F,8.2
17.45,1939,69.2F,8.2
17.5,1932,69.2F,8.2
17.55,1933,69.2F,8.2
17.6,1928,69.3F,8.2
17.65,1927,69.2F,8.2
17.7,1921,69.2F,8.2
17.75,1921,69.3F,8.2
17.8,1917,69.3F,8.2
17.85,1918,69.2F,8.2
17.9,1912,69.3F,8.2
17.95,1912,69.2F,8.2
18,1907,69.3F,8.2
18.05,1905,69.2F,8.2
18.1,1900,69.2F,8.2
18.15,1900,69.2F,8.2
18.2,1891,69.2F,8.2
18.25,1890,69.3F,8.2
18.3,1891,69.3F,8.2
18.35,1887,69.3F,8.2
18.4,1885,69.2F,8.2
18.45,1881,69.3F,8.2
18.5,1881,69.2F,8.2
18.55,1877,69.3F,8.2
18.6,1874,69.3F,8.2
18.65,1873,69.2F,8.2
18.7,1871,69.3F,8.2
18.75,1868,69.3F,8.2
18.8,1869,69.2F,8.2
18.85,1864,69.3F,8.2
18.9,1862,69.3F,8.2
18.95,1859,69.2F,8.2
19,1855,69.3F,8.2
19.05,1852,69.3F,8.2
19.1,1848,69.3F,8.2
19.15,1846,69.3F,8.2
19.2,1844,69.3F,8.2
19.25,1842,69.3F,8.2
19.3,1841,69.3F,8.2
19.35,1840,69.3F,8.2
19.4,1837,69.3F,8.2
19.45,1835,69.3F,8.2
19.5,1833,69.3F,8.2
19.55,1830,69.3F,8.2
19.6,1828,69.2F,8.2
19.65,1824,69.3F,8.2
19.7,1822,69.3F,8.2
19.75,1818,69.3F,8.2
19.8,1817,69.3F,8.2
19.85,1814,69.3F,8.2
19.9,1809,69.3F,8.2
19.95,1807,69.3F,8.2
20,1802,69.3F,8.2
20.05,1798,69.3F,8.2
20.1,1797,69.3F,8.2
20.15,1792,69.3F,8.2
20.2,1789,69.3F,8.2
20.25,1786,69.3F,8.2
20.3,1786,69.3F,8.2
20.35,1783,69.3F,8.2
20.4,1780,69.3F,8.2
20.45,1780,69.3F,8.2
20.5,1776,69.3F,8.2
20.55,1774,69.3F,8.2
20.6,1771,69.3F,8.2
20.65,1767,69.3F,8.2
20.7,1765,69.3F,8.2
20.75,1762,69.3F,8.2
20.8,1759,69.3F,8.2
20.85,1755,69.3F,8.2
20.9,1755,69.3F,8.2
20.95,1753,69.3F,8.2
21,1749,69.3F,8.2
