index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,checksum2
1715, 101,1685126,1685091,1,1,-0.050420,-0.137620,10.026769,0.012228,0.003980,0.226528,0.769756,0.563312,4.437593,0.148156,-0.214110,0.055628,89.933237,179.102409,113.229974,-0.587017,0.593800,0.384687,0.393483,655.926758,94280.257812,-0.150912,0.026113,1.210754,-0.995178,-0.976997,20.375000,25.016457,0,5.380000,0, 202
1716, 101,1687363,1687348,1,1,-0.050566,-0.154309,10.017064,0.003543,0.006491,0.217377,0.289230,-0.397740,4.437593,-0.496919,0.755799,-0.195020,89.894312,179.053546,112.377615,-0.583703,0.591286,0.388977,0.397956,655.953552,94281.312500,-0.250546,0.032771,1.210754,-0.968384,-0.964173,20.375000,25.007393,0,5.380000,0, 202
1717, 101,1689564,1689552,1,1,-0.053139,-0.135219,10.036402,0.004697,-0.002708,0.236452,0.289230,-0.397740,5.398644,-0.284811,0.260348,-1.097154,90.013123,179.143841,111.615284,-0.581969,0.587773,0.392948,0.401779,656.099670,94280.257812,0.432441,0.200755,1.210754,-0.822266,-0.891849,20.500000,25.016457,0,5.380000,0, 202
1718, 101,1691643,1691616,1,1,-0.051230,-0.136715,10.034266,0.004808,0.013826,0.234317,0.289230,-1.358791,4.918118,-0.581497,-0.469199,-0.193667,89.909755,179.139032,111.319195,-0.580383,0.587296,0.394804,0.402950,655.916260,94282.164062,0.266064,-0.097909,1.210754,-1.005676,-1.022783,20.500000,25.025518,0,5.380000,0, 202
1719, 101,1693729,1693685,1,1,-0.050092,-0.138270,10.017893,0.010484,-0.010662,0.213361,-0.671822,0.082786,4.437593,0.939043,-0.907375,-0.122563,90.034304,179.078148,110.739701,-0.578758,0.584874,0.397017,0.406619,655.796021,94283.085938,-0.375347,0.047473,1.210754,-1.125916,-1.038827,20.500000,25.034582,0,5.380000,0, 202
1720, 101,1695820,1695796,1,1,-0.064998,-0.137720,10.012148,0.001530,0.025882,0.212272,-1.632874,-1.839317,4.918118,-0.927723,-0.442949,0.014282,89.924153,179.122831,110.509114,-0.577536,0.584474,0.398813,0.407174,655.856873,94284.007812,-0.016129,-0.122577,1.210754,-1.065063,-1.085872,20.500000,25.043646,0,5.380000,0, 202
1721, 101,1697918,1697916,1,1,-0.049485,-0.145946,10.023326,-0.000251,-0.000450,0.223511,-0.671822,-0.878266,4.437593,0.081301,-0.729637,0.209535,89.986417,179.120741,109.780797,-0.575245,0.581623,0.402285,0.411066,655.691895,94284.929688,-0.406393,-0.146862,1.210754,-1.230042,-1.137939,20.500000,25.052708,0,5.380000,0, 202
1722, 101,1700015,1699996,1,1,-0.052629,-0.123122,10.016047,0.013988,0.002270,0.215931,0.769756,-1.839317,3.476542,-0.303837,-0.886404,-0.033584,90.039399,179.155876,109.222183,-0.573629,0.579265,0.405102,0.413877,656.111633,94278.007812,1.469834,0.159509,1.210754,-0.810303,-1.067493,20.500000,25.052708,0,5.380000,0, 202
1723, 101,1702124,1702121,1,1,-0.073263,-0.120208,10.025887,0.021707,0.035440,0.225790,-1.152348,-0.397740,4.437593,-0.033539,0.160156,-0.563053,89.974751,179.091289,108.630552,-0.570924,0.577718,0.407997,0.416924,655.810913,94282.851562,-0.218228,-0.088109,1.210754,-1.111023,-1.064619,20.500000,25.066303,0,5.380000,0, 202
1724, 101,1704309,1704309,1,1,-0.028591,-0.153232,10.023100,-0.000642,-0.034185,0.223254,-0.191296,4.407518,4.437593,0.092975,1.316962,-0.358176,90.075647,179.120782,108.293093,-0.570308,0.575907,0.409476,0.418818,655.952393,94284.796875,0.458790,0.024369,1.210754,-0.969543,-0.960459,20.375000,25.070833,0,5.380000,0, 202
1725, 101,1706415,1706380,1,1,-0.052856,-0.138592,10.021499,0.003583,0.008542,0.221592,-0.671822,-0.397740,3.957067,0.338062,0.123954,0.577452,90.000631,179.132981,107.531664,-0.567182,0.573501,0.413632,0.422267,656.148438,94278.789062,0.358452,0.079955,1.210754,-0.773499,-0.878232,20.500000,25.079897,0,5.380000,0, 202
1726, 101,1708526,1708507,1,1,-0.050445,-0.136047,10.026974,0.019158,-0.001390,0.227005,0.289230,-0.397740,5.879170,-0.730835,0.234204,-1.081830,90.060730,179.063163,106.693033,-0.564448,0.570093,0.417763,0.426458,655.958740,94279.781250,-0.469944,-0.123307,1.210754,-0.963196,-0.926693,20.500000,25.079897,0,5.380000,0, 202
1727, 101,1710641,1710639,1,1,-0.057466,-0.131988,9.997753,0.007014,0.005484,0.197786,0.769756,2.485415,3.476542,-0.143641,-0.354232,-0.577453,90.071419,179.141314,106.366051,-0.563241,0.568886,0.419221,0.428233,655.941528,94281.695312,-0.323785,-0.052685,1.210754,-0.980408,-0.996528,20.500000,25.088959,0,5.380000,0, 202
1728, 101,1712760,1712732,1,1,-0.049501,-0.133221,10.034070,0.014125,-0.005523,0.234065,0.289230,-0.878266,4.918118,-0.547405,0.570305,-0.105667,90.094587,179.110332,105.927245,-0.561595,0.567277,0.421156,0.430623,656.080566,94281.625000,0.455212,-0.014715,1.210754,-0.841370,-0.915236,20.500000,25.098022,0,5.380000,0, 202
1729, 101,1714891,1714867,1,1,-0.050252,-0.141399,10.021880,0.001547,-0.021635,0.221980,-1.152348,-0.878266,4.918118,0.159700,0.069662,-0.218811,90.193898,179.136177,104.869242,-0.557665,0.563296,0.426587,0.435581,655.899170,94283.531250,-0.017857,0.068553,1.210754,-1.022766,-0.990915,20.500000,25.107086,0,5.380000,0, 202
1730, 101,1717027,1717003,1,1,-0.043346,-0.175884,10.037812,-0.020077,-0.004373,0.238426,-0.671822,-1.358791,4.918118,-0.062712,-0.775364,0.082711,90.014011,179.080771,104.451030,-0.555493,0.562306,0.428591,0.437664,655.990540,94280.562500,0.776023,0.050944,1.210754,-0.931396,-1.039620,20.625000,25.107086,0,5.380000,0, 202
1731, 101,1719170,1719153,1,1,-0.046739,-0.144966,10.015022,-0.006237,0.013076,0.215170,-0.671822,-1.358791,3.476542,-0.370248,-0.413396,-0.586106,89.982292,179.166230,104.113031,-0.554578,0.560666,0.430373,0.439176,655.894531,94280.531250,0.330631,-0.029056,1.210754,-1.027405,-1.117818,20.625000,25.111616,0,5.380000,0, 202
1732, 101,1721388,1721360,1,1,-0.036949,-0.139805,10.012672,-0.003965,-0.022185,0.212691,0.289230,-1.358791,4.437593,-0.430243,0.083052,0.298300,90.144256,179.195450,103.605254,-0.553324,0.558065,0.432787,0.441691,656.042358,94277.492188,-0.176601,0.091099,1.210754,-0.879578,-0.926956,20.500000,25.120680,0,5.380000,0, 202
1733, 101,1723528,1723507,1,1,-0.042082,-0.142121,10.025760,-0.000955,-0.012413,0.225848,-0.191296,-1.358791,4.918118,0.327856,-0.197994,0.206223,90.120972,179.159946,103.107013,-0.550819,0.556751,0.435351,0.443956,655.860779,94282.406250,0.213093,-0.052198,1.210754,-1.061157,-1.041876,20.500000,25.125212,0,5.380000,0, 202
1734, 101,1725674,1725657,1,1,-0.045761,-0.149057,10.028938,0.009330,-0.018673,0.229129,-0.671822,-0.878266,5.398644,-0.198399,-0.176883,-0.373165,90.176754,179.058737,102.553460,-0.548595,0.554713,0.437708,0.446932,655.910034,94279.304688,-0.025221,-0.041160,1.210754,-1.011902,-1.086861,20.500000,25.143337,0,5.380000,0, 202
1735, 101,1727824,1727801,1,1,-0.056091,-0.133935,10.019522,0.001841,-0.008853,0.219570,-0.671822,-2.319843,2.996016,0.024866,0.031748,-0.435856,90.205899,179.173825,101.944569,-0.547077,0.551524,0.440483,0.450003,655.829224,94285.203125,-0.289375,0.259866,1.210754,-1.092712,-1.008042,20.500000,25.147867,0,5.380000,0, 202
1736, 101,1730029,1730006,1,1,-0.047757,-0.135557,10.025039,-0.015940,0.015225,0.225045,0.769756,1.043838,3.957067,-0.017532,-0.541524,-0.269353,90.029577,179.278040,101.247473,-0.543896,0.549266,0.445027,0.452145,655.964966,94280.226562,-0.037186,0.019231,1.210754,-0.956970,-0.971029,20.500000,25.152399,0,5.380000,0, 202
1737, 101,1732113,1732075,1,1,-0.061416,-0.132520,10.028623,-0.005655,-0.001807,0.228684,0.769756,-1.839317,3.476542,0.018186,0.225534,-0.291994,90.216028,179.223645,100.592690,-0.541976,0.546046,0.447156,0.456231,655.769653,94284.046875,-0.346604,0.134697,1.210754,-1.152283,-1.049185,20.500000,25.170525,0,5.380000,0, 202
1738, 101,1734205,1734193,1,1,-0.050630,-0.140712,10.028228,0.002412,0.002284,0.228342,0.289230,-0.878266,3.476542,-0.327743,0.073847,-0.776999,90.130671,179.144046,100.104994,-0.539307,0.544853,0.449439,0.458572,655.841431,94282.062500,-0.115232,-0.078468,1.210754,-1.080505,-1.062234,20.625000,25.170525,0,5.380000,0, 202
1739, 101,1736294,1736258,1,1,-0.047049,-0.131406,10.029705,0.012960,0.007749,0.229665,1.250281,-1.358791,3.957067,-0.021862,-0.317644,-0.603593,90.097859,179.141450,99.431633,-0.536437,0.542367,0.452752,0.461616,655.784546,94282.882812,-0.424218,0.060989,1.210754,-1.137390,-1.031841,20.500000,25.193182,0,5.380000,0, 202
1740, 101,1738464,1738434,1,1,-0.054806,-0.132414,10.027371,-0.002539,0.028034,0.227356,-1.152348,-0.878266,4.918118,0.775663,-0.465869,-0.307485,90.035082,179.219328,98.688058,-0.533450,0.539399,0.456884,0.464475,655.744019,94287.929688,0.012012,0.244429,1.210754,-1.177917,-1.032418,20.500000,25.179586,0,5.380000,0, 202
1741, 101,1740557,1740551,1,1,-0.050987,-0.132697,10.029356,0.016732,0.013733,0.229340,-0.671822,-0.397740,4.918118,0.141289,-1.215837,-0.550910,90.104641,179.113283,97.988209,-0.531179,0.536031,0.459502,0.468378,655.835815,94283.835938,0.282009,0.033456,1.210754,-1.086121,-1.144544,20.500000,25.197712,0,5.380000,0, 202
1742, 101,1742654,1742633,1,1,-0.042336,-0.102117,10.001703,0.037675,-0.009136,0.201239,-1.152348,-1.358791,5.398644,0.118759,0.002763,-0.205621,90.216410,179.172569,97.500582,-0.529262,0.533987,0.461486,0.470924,655.877625,94284.757812,0.152102,0.125125,1.210754,-1.044312,-1.053694,20.625000,25.206776,0,5.380000,0, 202
1743, 101,1744764,1744761,1,1,-0.049921,-0.145801,10.020233,-0.012664,-0.000725,0.220410,0.289230,-1.358791,6.359696,0.041789,0.734690,-0.629410,90.188065,179.210681,96.852240,-0.526329,0.531624,0.464507,0.473906,655.913818,94282.781250,-0.152734,0.057433,1.210754,-1.008118,-0.983827,20.500000,25.206776,0,5.380000,0, 202
1744, 101,1746866,1746832,1,1,-0.051796,-0.150525,10.020748,-0.008976,-0.004211,0.221008,-0.191296,-0.878266,4.918118,-0.259774,0.160812,0.091527,90.222824,179.163170,96.373901,-0.524598,0.529433,0.466643,0.476174,655.911133,94284.687500,-0.159070,0.277903,1.210754,-1.010803,-0.876404,20.625000,25.215837,0,5.380000,0, 202
1745, 101,1748980,1748961,1,1,-0.070206,-0.122863,10.035345,0.019552,0.022258,0.235299,-0.191296,-1.839317,4.918118,0.057343,-0.098810,-0.246630,90.197258,179.148472,96.074520,-0.524118,0.527457,0.468050,0.477513,655.949768,94280.695312,-0.057091,0.101762,1.210754,-0.972168,-1.013277,20.500000,25.220369,0,5.380000,0, 202
1746, 101,1751100,1751094,1,1,-0.058025,-0.105177,10.021043,0.041100,0.012861,0.220670,-0.671822,-0.397740,4.918118,-0.551283,0.661493,-0.762684,90.199772,179.134975,95.433896,-0.521640,0.524638,0.471630,0.479805,656.193970,94279.703125,0.637024,0.241424,1.210754,-0.727966,-0.861499,20.625000,25.220369,0,5.380000,0, 202
1747, 101,1753226,1753192,1,1,-0.049718,-0.130386,10.013356,0.000618,-0.002411,0.213328,-0.191296,-0.878266,4.437593,-0.001983,-0.032926,0.168963,90.233219,179.228795,94.920799,-0.518840,0.523154,0.473576,0.482535,655.918579,94283.562500,0.112762,-0.032106,1.210754,-1.003357,-0.961386,20.625000,25.233963,0,5.380000,0, 202
1748, 101,1755429,1755427,1,1,-0.043484,-0.142007,10.023647,0.021174,-0.001409,0.223725,1.250281,-1.839317,5.879170,0.214454,0.204984,-0.144880,90.192771,179.050458,94.455834,-0.515942,0.522153,0.475052,0.485269,655.930481,94284.585938,0.119910,0.090797,1.210754,-0.991455,-0.974485,20.625000,25.229431,0,5.380000,0, 202
1749, 101,1757555,1757514,1,1,-0.090836,-0.140548,10.025260,-0.012872,0.062978,0.225451,0.289230,-1.358791,4.918118,0.984063,-0.584359,0.165589,90.105358,179.238015,93.763642,-0.513401,0.518880,0.479421,0.487174,655.883667,94277.484375,-0.334353,-0.145438,1.210754,-1.038269,-1.129497,20.625000,25.252089,0,5.380000,0, 202
1750, 101,1759686,1759659,1,1,-0.048192,-0.133717,10.026409,0.019864,-0.013350,0.226388,-0.191296,-0.397740,4.437593,-0.689375,0.211033,-0.597812,90.308331,179.108174,93.217732,-0.511564,0.516110,0.481186,0.490299,655.978455,94280.382812,-0.117041,-0.026788,1.210754,-0.943481,-1.000856,20.625000,25.261150,0,5.380000,0, 202
1751, 101,1761822,1761803,1,1,-0.053571,-0.136318,10.001112,-0.008297,0.037296,0.201111,-0.191296,-1.839317,3.957067,-0.074587,-0.257096,-0.395310,90.062717,179.255309,92.222341,-0.507361,0.511831,0.485597,0.494782,655.930664,94280.312500,-0.084637,-0.086132,1.210754,-0.991272,-0.993749,20.625000,25.270212,0,5.380000,0, 202
1752, 101,1763967,1763952,1,1,-0.039477,-0.152206,10.023642,0.010887,-0.016597,0.223855,0.289230,-0.878266,4.437593,-0.744286,0.124651,-0.317693,90.299185,179.062575,91.398866,-0.503204,0.508913,0.489021,0.498649,655.889038,94282.289062,0.441391,-0.052669,1.210754,-1.032898,-1.076018,20.625000,25.270212,0,5.380000,0, 202
1753, 101,1766114,1766103,1,1,-0.062884,-0.159022,10.020625,-0.020069,0.014041,0.221054,-0.191296,-1.839317,4.918118,0.256007,0.302396,-0.513049,90.267063,179.200832,90.765202,-0.500898,0.505740,0.491189,0.502057,655.998352,94276.351562,0.075479,0.104312,1.210754,-0.923584,-1.020457,20.625000,25.270212,0,5.380000,0, 202
1754, 101,1768269,1768249,1,1,-0.051956,-0.147457,10.021370,-0.004449,0.006214,0.221586,-0.671822,-1.358791,3.957067,-0.276769,-1.166900,-0.043497,90.255793,179.180437,90.387062,-0.499236,0.504124,0.493586,0.502987,656.077942,94275.257812,0.259231,0.207613,1.210754,-0.843994,-1.006587,20.625000,25.283806,0,5.380000,0, 202
1755, 101,1770478,1770457,1,1,-0.046750,-0.143697,10.016172,-0.003822,-0.015649,0.216299,-0.191296,-0.397740,5.398644,-0.395809,0.693446,0.236841,90.357945,179.200258,89.927500,-0.497749,0.501611,0.495241,0.505341,655.975037,94281.164062,0.311805,0.086026,1.210754,-0.946899,-0.990283,20.625000,25.288338,0,5.380000,0, 202
1756, 101,1772646,1772634,1,1,-0.053322,-0.132874,10.025400,0.033180,-0.011069,0.225361,0.289230,0.082786,4.918118,-0.553142,0.511945,-0.594854,90.379064,179.055595,89.160142,-0.494317,0.498329,0.498857,0.508391,656.216675,94276.109375,0.880632,0.164725,1.210754,-0.705261,-0.937171,20.750000,25.301931,0,5.380000,0, 202
1757, 101,1774721,1774697,1,1,-0.039687,-0.142816,10.034708,0.003746,-0.021400,0.234779,-0.191296,0.082786,5.879170,-0.711597,1.529551,-0.787560,90.371271,179.169823,88.411512,-0.490943,0.495092,0.501641,0.512069,655.958252,94284.875000,-0.841014,0.081178,1.210754,-0.963684,-0.810022,20.625000,25.320057,0,5.380000,0, 202
1758, 101,1776804,1776761,1,1,-0.059466,-0.143422,10.029484,0.017103,0.009990,0.229666,-0.671822,-1.839317,4.437593,-1.054650,0.683516,-0.096459,90.313406,179.096494,87.828255,-0.487754,0.493104,0.504097,0.514617,655.998169,94284.843750,0.143531,0.104526,1.210754,-0.923767,-0.844708,20.750000,25.324587,0,5.380000,0, 202
1759, 101,1778894,1778870,1,1,-0.040436,-0.140844,10.021091,0.007653,-0.012463,0.221151,-2.113400,-6.644576,5.398644,0.611561,1.304703,0.294916,90.337496,179.161941,87.487408,-0.486617,0.491209,0.505736,0.515896,655.900879,94284.875000,-0.211506,0.057614,1.210754,-1.021057,-0.996668,20.625000,25.320057,0,5.380000,0, 202
1760, 101,1780994,1780992,1,1,-0.051030,-0.136296,10.020682,-0.000990,0.003585,0.220738,-1.632874,-1.839317,4.437593,-0.162915,0.105069,-0.434867,90.317791,179.245447,86.536502,-0.482612,0.486705,0.510240,0.519479,656.036865,94275.859375,0.222166,-0.168586,1.210754,-0.885071,-1.031115,20.750000,25.333651,0,5.380000,0, 202
1761, 101,1783097,1783077,1,1,-0.061072,-0.140774,10.011349,0.008210,-0.014474,0.211511,-0.191296,-2.319843,4.437593,0.042168,0.630140,-0.474605,90.489372,179.174645,85.873346,-0.480001,0.483344,0.511965,0.523325,655.955078,94283.640625,0.044530,-0.031826,1.210754,-0.966858,-0.852448,20.750000,25.351774,0,5.380000,0, 202
1762, 101,1785203,1785199,1,1,-0.034625,-0.131563,10.022799,0.019114,-0.030121,0.222658,1.730806,2.485415,4.437593,0.267141,0.738683,-0.112224,90.436656,179.159455,84.861098,-0.475070,0.479091,0.516393,0.527369,656.107910,94278.687500,0.516259,0.046374,1.210754,-0.814026,-0.841386,20.750000,25.351774,0,5.380000,0, 202
1763, 101,1787306,1787274,1,1,-0.051574,-0.136790,10.018987,0.002595,-0.008282,0.219049,-0.671822,0.563312,3.476542,-0.114278,0.149800,-0.647251,90.422327,179.238015,84.006013,-0.471423,0.474924,0.520348,0.530514,656.208496,94280.601562,0.143813,0.215826,1.210754,-0.713440,-0.692513,20.750000,25.360836,0,5.380000,0, 202
1764, 101,1789501,1789459,1,1,-0.053300,-0.133174,10.030929,0.005155,0.007164,0.230950,0.289230,-0.397740,4.437593,-0.647199,0.215625,0.327015,90.344545,179.247605,83.746356,-0.469943,0.474019,0.521824,0.531188,656.342773,94276.671875,0.143257,0.137970,1.210754,-0.579163,-0.663283,20.750000,25.356306,0,5.380000,0, 202
