index,checksum,uptime mp,uptime nav,errorflag mp,errorflag NAV,accel x,accel y,accel z,accelworld x,accelworld y,accelworld z,accelhighg x,accelhighg y,accelhighg z,gyro x,gyro y,gyro z,euler x,euler y,euler z,quat w,quat x,quat y,quat z,altitude,presusre,verticalvel,filtered vvel,maxalt,altitudeagl,filtered alt,imutemp,barotemp,state,battstate,pyros fired,pyros cont,pyros state,checksum2\r
3339,101,1727856,1727848,1,1,9.242734,-8.164788,0.671395,0.736524,-1.780818,2.398545,9.419221,-10.008257,-4.692398,4.654278,9.064206,0.95506,9.572872,141.582773,133.350387,0.105328,0.859731,0.39171,0.310374,653.862427,94303.63281,0.538802,0.063848,0,-297.073669,-297.230377,22.75,27.480902,0,5.32,0,202,,
3340,101,1729938,1729920,1,1,3.330261,-9.977368,0.286009,0.556027,-1.567204,0.589141,4.613962,-12.410886,-4.692398,-3.35758,7.503728,54.285712,8.024586,139.263432,164.198349,-0.017247,0.929648,0.104426,0.352921,653.594849,94304.71094,-0.568681,-0.620982,0,-297.341248,-297.213928,22.875,27.471844,0,5.32,0,202,,
3341,101,1732033,1731995,1,1,1.74265,-10.68726,-0.45121,-1.312625,0.525784,0.944162,1.730806,-13.371938,-5.172924,13.286289,3.247798,21.241808,0.721383,135.391261,163.31735,0.049294,0.915722,0.131849,0.376349,653.419678,94311.76563,-0.507039,-0.031208,0,-297.516418,-297.428894,22.75,27.462786,0,5.32,0,202,,
3342,101,1734128,1734115,1,1,3.345145,-7.911648,0.672438,-0.122629,-0.328458,-1.192084,4.613962,-10.008257,-3.731347,4.07116,14.275614,17.3772,9.012002,137.517089,151.856784,0.016786,0.908219,0.198306,0.368145,653.260132,94309.85938,-0.309478,-0.491734,0,-297.675964,-297.624237,22.75,27.453728,0,5.32,0,202,,
3343,101,1736229,1736185,1,1,-0.256756,-6.721307,-0.051803,-0.083155,-1.034288,-3.155106,-0.671822,-6.644576,-5.172924,-5.023742,10.722844,-34.634998,8.998486,130.325583,-178.387083,-0.077077,0.904155,-0.045681,0.417704,652.965698,94315.86719,-0.150908,-0.188522,0,-297.970398,-297.938599,22.875,27.4492,0,5.32,0,202,,
3344,101,1738334,1738309,1,1,-1.863639,-9.471297,1.606559,0.48477,-0.295338,-0.031792,-2.1134,-9.047205,-4.211873,-25.537994,29.001864,43.344643,13.451484,128.103545,-176.386985,-0.118957,0.890942,-0.079371,0.431012,653.104919,94309.04688,0.783588,0.077765,0,-297.831177,-298.107422,22.75,27.435612,0,5.32,0,202,,
3345,101,1740527,1740500,1,1,7.270326,-9.319147,0.679052,0.167223,-1.13522,1.982402,6.536066,-9.527731,-4.692398,-11.83256,9.025656,34.651633,21.003911,99.350955,126.862759,0.160301,0.723215,0.229788,0.631238,653.799561,94305.02344,0.289698,0.325413,0,-297.136536,-297.296021,22.875,27.440142,0,5.32,0,202,,
3346,101,1742640,1742630,1,1,-1.498242,-8.383345,-0.729384,-1.312397,1.913058,-1.574517,-3.074451,-7.605628,-5.65345,-14.524478,9.108246,-51.590703,172.396611,59.860215,0.960405,-0.000342,0.86559,-0.085432,0.493411,654.662231,94291.24219,0.732565,0.188252,0,-296.273865,-296.437286,22.75,27.426554,0,5.32,0,202,,
3347,101,1744757,1744729,1,1,-7.064768,7.257562,1.679385,0.411107,0.149593,0.456295,-7.879711,7.125102,5.65345,43.801505,-42.955125,-17.171799,169.29438,145.270747,139.529632,-0.881983,0.186318,-0.248015,0.354795,654.011963,94304.25,-0.810866,-0.445755,0,-296.924133,-296.723297,22.75,27.417496,0,5.32,0,202,,
3348,101,1746879,1746877,1,1,0.76711,7.642452,-5.438525,-0.59149,-0.609965,-0.428105,0.28923,8.086153,0.367666,-0.928127,0.010589,31.602346,41.796427,26.749558,-9.971021,-0.91261,-0.326941,-0.245443,-0.003217,654.256409,94297.46875,0.682001,-0.09324,0,-296.679688,-296.758575,22.75,27.39938,0,5.32,0,202,,
3349,101,1748999,1748988,1,1,6.647459,0.010012,-7.804504,-0.441995,0.476338,0.43017,6.05554,-0.563312,-1.554438,8.186391,1.672143,-37.265533,124.339714,20.768384,-68.115755,-0.469708,-0.673522,-0.556858,0.125111,654.052734,94299.54688,-0.581704,-0.050991,0,-296.883362,-296.836182,22.75,27.390322,0,5.32,0,202,,
3350,101,1751130,1751130,1,1,6.37338,0.154715,7.729771,-0.038146,-0.080886,0.218245,6.05554,0.563312,2.034964,4.047024,-0.14,-4.50655,54.948278,161.668624,64.528622,0.123631,-0.529714,-0.701419,-0.460576,653.835571,94301.61719,-0.364471,-0.126279,0,-297.100525,-297.088501,22.75,27.381264,0,5.32,0,202,,
3351,101,1753266,1753236,1,1,6.511253,0.079181,7.525855,0.01412,-0.002466,0.150933,6.536066,-0.39774,2.996016,-1.067566,1.58244,0.993198,53.635399,159.828435,64.325458,0.104146,-0.534613,-0.701759,-0.459213,653.684082,94307.625,-0.252612,-0.116574,0,-297.252014,-297.128662,22.75,27.376736,0,5.32,0,202,,
3352,101,1755413,1755383,1,1,6.227966,0.592408,7.718957,0.221363,-0.155398,0.131153,6.536066,0.563312,1.073912,-4.653629,4.4482,19.513497,54.197128,164.059614,66.168783,0.142832,-0.534177,-0.704206,-0.445362,653.858032,94305.72656,0.386482,-0.135033,0,-297.078064,-297.115906,22.75,27.367676,0,5.32,0,202,,
3353,101,1757657,1757635,1,1,6.038986,1.983813,7.944469,-1.353924,-0.562262,0.267277,4.133436,2.004889,2.51549,19.11062,38.172558,-23.949985,56.364647,175.626976,53.803719,0.14663,-0.46498,-0.76167,-0.426794,653.948364,94300.89063,-0.402866,-0.029979,0,-296.987732,-297.015869,22.625,27.35409,0,5.32,0,202,,
3354,101,1759797,1759785,1,1,-0.502,7.927915,6.705918,0.608172,1.377879,0.485144,-0.191296,8.732251,2.034964,37.303228,-37.431264,7.687178,64.795081,-136.090522,63.142763,0.549129,-0.186798,-0.761315,-0.289763,654.182617,94302.05469,-0.690408,-0.164135,0,-296.753479,-296.639923,22.75,27.335974,0,5.32,0,202,,
3355,101,1761947,1761939,1,1,4.835655,8.64005,0.694858,0.296014,-0.120161,0.119423,3.65291,8.251725,-4.692398,3.572057,-3.370392,10.011175,6.234534,-151.045672,33.420874,0.252465,-0.253848,-0.933238,0.029823,653.897278,94299.21094,-0.35648,-0.163277,0,-297.038818,-296.958038,22.75,27.322386,0,5.32,0,202,,
3356,101,1764146,1764140,1,1,4.778154,8.261392,-0.927987,-1.682063,-0.251973,-0.364386,4.133436,9.212777,-5.65345,1.39306,19.498602,-4.197299,172.115836,-18.569143,-162.582599,0.153697,-0.238308,-0.954635,0.090881,653.798767,94307.24219,-0.470678,-0.019972,0,-297.137329,-297.095947,22.625,27.313328,0,5.32,0,202,,
3357,101,1766224,1766195,1,1,4.279619,8.791306,-0.982688,-0.037507,-0.149052,0.024694,2.691859,8.732251,-5.65345,-6.365961,-4.195206,-3.272155,172.574742,-44.619386,-160.045307,0.362708,-0.184162,-0.904983,0.124632,653.614197,94309.27344,-0.245805,-0.091485,0,-297.321899,-297.2547,22.75,27.308798,0,5.32,0,202,,
3358,101,1768314,1768309,1,1,4.225024,8.876093,-1.205418,0.32368,-0.582698,0.080527,4.133436,8.251725,-6.133976,-2.553518,-4.492022,-2.141445,176.150592,-34.986681,-157.160795,0.288136,-0.198625,-0.932345,0.090881,653.586426,94307.54688,0.0717,0.00739,0,-297.34967,-297.352509,22.75,27.281624,0,5.32,0,202,,
3359,101,1770402,1770395,1,1,6.147357,-6.830652,2.538635,-0.309574,-0.014908,-0.272284,5.094488,-6.810148,6.614501,2.749993,-4.054728,-6.205193,18.190465,-142.554162,147.751076,0.231848,-0.884293,-0.308466,0.262909,653.556091,94310.61719,0.087066,-0.015424,0,-297.380005,-297.372223,22.625,27.272564,0,5.32,0,202,,
3360,101,1772494,1772489,1,1,4.226747,-8.451224,2.767794,-0.017377,0.043753,0.045169,3.172385,-6.810148,7.095027,-0.478193,3.092789,3.864674,17.075581,-160.336423,159.324298,0.17421,-0.954027,-0.199796,0.139872,654.015747,94304.91406,0.687679,0.322998,0,-296.920349,-297.009613,22.625,27.24539,0,5.32,0,202,,
3361,101,1774669,1774646,1,1,6.211685,-7.339621,2.5713,0.065347,-0.0641,0.151802,6.05554,-7.7712,7.095027,-0.414592,1.10982,-1.161932,19.63893,-142.644526,152.037211,0.233016,-0.892606,-0.278527,0.26717,653.544678,94313.94531,0.262327,-0.020119,0,-297.391418,-297.276733,22.625,27.236332,0,5.32,0,202,,
3362,101,1776765,1776730,1,1,6.315326,-7.225822,2.036141,0.114896,0.116457,0.007922,6.536066,-7.7712,7.095027,-4.234239,-3.854112,3.388214,15.495105,-140.518097,149.817044,0.209649,-0.888617,-0.286786,0.290106,653.556763,94309.23438,0.296694,-0.100693,0,-297.379333,-297.3992,22.625,27.209156,0,5.32,0,202,,
