index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2\r
2909, 101,1043569,1043525,1,1,-0.156443,0.077947,9.794230,0.015858,-0.003249,-0.001455,10.380273,5.368570,-0.367666,-0.738972,-0.329805,-0.255436,90.963838,179.517753,138.227852,0.665119,-0.656128,-0.247156,-0.256957,651.378723,94331.867188,0.094381,-0.146204,2.927917,-0.384766,-0.387270,31.500000,36.672161,0,2.940000,0,0,0, 202
2910, 101,1045667,1045639,1,1,-0.146099,0.065416,9.803891,-0.004359,-0.009008,0.004193,9.899747,4.407518,0.112860,-0.949165,-0.716493,0.356432,90.905979,179.642267,138.301864,0.665227,-0.656350,-0.247587,-0.255692,651.461853,94334.312500,0.460046,0.137776,2.927917,-0.301636,-0.287446,31.375000,36.649509,0,2.940000,0,0,0, 202
2911, 101,1047773,1047758,1,1,-0.164730,0.086712,9.796138,-0.033894,-0.001737,-0.003152,11.341324,4.888044,0.112860,0.386557,-0.581134,0.411349,91.033847,179.827693,137.658474,0.664468,-0.654239,-0.251058,-0.259661,651.949829,94329.960938,1.154831,0.423990,2.927917,0.186340,0.019802,31.375000,36.608734,0,2.950000,0,0,0, 202
2912, 101,1049881,1049880,1,1,-0.161300,0.083264,9.811159,0.006448,-0.004218,0.011835,10.380273,3.446467,0.593386,0.071190,-0.269375,-0.155269,91.017953,179.592475,137.724522,0.664460,-0.654556,-0.250348,-0.259569,651.794067,94329.593750,-0.617559,0.142024,2.927917,0.030579,0.100786,31.375000,36.572487,0,2.950000,0,0,0, 202
2913, 101,1051996,1051953,1,1,-0.157620,0.081732,9.810231,0.007718,-0.022201,0.004852,10.380273,4.888044,1.073912,-1.101739,0.647099,0.393601,91.068483,179.600425,137.802236,0.664942,-0.654415,-0.249836,-0.259183,651.887512,94327.273438,0.261450,-0.138474,2.927917,0.124023,0.029425,31.375000,36.531712,0,2.950000,0,0,0, 202
2914, 101,1054114,1054081,1,1,-0.160075,0.072817,9.802568,-0.006933,-0.012000,0.003136,10.380273,4.407518,0.593386,-0.009229,-0.501862,0.341300,91.011205,179.627364,138.161435,0.665483,-0.655468,-0.248068,-0.256820,651.804321,94325.726562,0.306029,0.070477,2.927917,0.040833,-0.069845,31.375000,36.504528,0,2.950000,0,0,0, 202
2915, 101,1056241,1056213,1,1,-0.165152,0.104350,9.816434,-0.006308,0.027078,0.017338,9.899747,5.368570,-1.809243,-0.415254,-0.269665,-0.253134,90.938983,179.726319,138.088393,0.665863,-0.654756,-0.248716,-0.257024,651.506714,94334.531250,-0.251099,-0.079664,2.927917,-0.256775,-0.086138,31.250000,36.468281,0,2.960000,0,0,0, 202
2916, 101,1058458,1058449,1,1,-0.153098,0.100798,9.800587,-0.000917,0.008342,0.001297,10.380273,5.849096,-0.367666,0.235614,-1.238855,0.211340,90.987928,179.734502,138.001964,0.665228,-0.655020,-0.249656,-0.257084,651.801880,94329.312500,-0.303434,0.238372,2.927917,0.038391,0.197998,31.250000,36.418442,0,2.960000,0,0,0, 202
2917, 101,1060582,1060581,1,1,-0.161624,0.084585,9.803873,-0.012801,-0.003924,0.004561,11.341324,5.849096,1.073912,0.255087,-0.416875,0.081538,91.022694,179.704954,137.924441,0.665188,-0.654715,-0.249849,-0.257778,651.845764,94328.859375,0.168048,-0.144927,2.927917,0.082275,0.086098,31.125000,36.386726,0,2.960000,0,0,0, 202
2918, 101,1062711,1062706,1,1,-0.157030,0.195415,9.847684,0.060883,0.090274,0.049272,9.419221,2.485415,1.073912,-0.011392,-0.520646,1.193636,90.931251,179.721197,138.251457,0.668841,-0.652478,-0.249045,-0.254758,651.820557,94328.812500,0.981560,0.111316,2.927917,0.057068,0.011652,31.125000,36.332355,0,2.960000,0,0,0, 202
2919, 101,1064845,1064844,1,1,-0.156311,0.080132,9.818809,0.006164,0.014006,0.019368,10.860798,5.849096,-0.367666,-0.068081,-0.097237,0.889953,90.875407,179.597543,138.092450,0.664485,-0.656172,-0.248594,-0.257096,651.748535,94327.421875,0.809124,-0.210348,2.927917,-0.014954,-0.115933,31.125000,36.296108,0,2.960000,0,0,0, 202
2920, 101,1066983,1066942,1,1,-0.164223,0.100769,9.793891,-0.006752,0.015020,-0.005228,9.419221,4.407518,-1.328717,-0.495370,-0.301295,-0.588561,90.992128,179.717235,138.147242,0.665540,-0.655350,-0.248715,-0.256348,651.790100,94332.226562,0.099749,0.127947,2.927917,0.026611,0.107473,31.000000,36.255329,0,2.960000,0,0,0, 202
2921, 101,1069131,1069087,1,1,-0.145766,0.042817,9.790778,-0.034119,-0.102457,-0.038055,10.380273,7.290674,-0.848191,-0.196941,-0.816438,0.283358,90.991001,179.631680,137.867136,0.664715,-0.654936,-0.249822,-0.258459,651.826050,94328.796875,0.459885,-0.073563,2.927917,0.062561,0.012057,31.000000,36.219082,0,2.960000,0,0,0, 202
2922, 101,1071288,1071285,1,1,-0.168916,0.086017,9.820441,-0.013631,0.015732,0.021248,11.341324,5.368570,0.112860,0.146211,-0.627072,1.062184,90.938935,179.678959,138.222251,0.665319,-0.655906,-0.248182,-0.256016,651.784851,94328.500000,-0.490984,0.053578,2.927917,0.021362,0.074216,31.000000,36.178303,0,2.960000,0,0,0, 202
2923, 101,1073448,1073424,1,1,-0.158836,0.072560,9.825541,-0.006352,-0.001371,0.026091,10.860798,2.965941,0.112860,0.131968,-0.995115,0.341055,90.939591,179.626134,138.351301,0.665379,-0.656411,-0.246960,-0.255747,652.012695,94324.984375,0.497540,0.408869,2.927917,0.249207,0.134023,30.875000,36.146584,0,2.970000,0,0,0, 202
2924, 101,1075773,1075749,1,1,-0.161152,0.094746,9.813581,0.009996,0.016764,0.014342,10.380273,4.888044,-0.367666,-1.112963,0.161848,-0.632518,90.939106,179.601532,138.609277,0.666633,-0.656283,-0.245620,-0.254093,651.810669,94329.859375,-0.067444,-0.023614,2.927917,0.047180,0.054934,30.875000,36.101273,0,2.970000,0,0,0, 202
2925, 101,1077855,1077811,1,1,-0.156118,-0.040623,9.777014,0.010738,0.001018,0.018179,10.380273,5.849096,-1.809243,0.012123,1.020908,-0.446419,90.912700,179.509543,138.365016,0.665115,-0.656738,-0.246437,-0.256098,650.936035,94340.523438,-1.127658,-0.316955,2.927917,-0.827454,-0.383395,30.750000,36.074085,0,2.970000,0,0,0, 202
