index," checksum",uptime mp,uptime nav,"  errorflag mp",errorflag NAV,"  accel x"," accel y"," accel z"," accelworld x"," accelworld y"," accelworld z"," accelhighg x"," accelhighg y"," accelhighg z"," gyro x"," gyro y"," gyro z"," euler x"," euler y"," euler z"," quat w"," quat x"," quat y"," quat z"," altitude"," presusre"," verticalvel",filtered vvel," maxalt"," altitudeagl"," filtered alt"," imutemp"," barotemp",state,battstate,pyros fired," checksum2\r"
24," 101",12556,12544,1,1,1.888795,-9.633598,0.067209,-0.002723,0.000048,0.016244,-1.325191,-4.546771,-8.334359,-0.988325,0.226728,-0.221690,179.607037,178.779409,-11.068638,0.096472,0.010271,0.004440,0.995273,1861.306519,81305.437500,-0.436173,0.015394,0.165771,-0.147095,-0.116650,14.750000,19.836914,0,0.000000,0," 202"
25," 101",0,3257,1,1,1.887533,-9.660012,0.062757,-0.020722,0.001406,0.041872,-1.325191,-4.546771,-7.853833,-0.018183,0.900409,0.222322,179.629672,-178.428092,-10.945452,0.096262,-0.013955,0.001858,0.995256,1861.254883,81308.921875,-0.024317,57.328842,0.604980,0.423462,-1.293216,14.625000,19.818823,0,0.000000,0," 202"
26," 101",3356,3758,1,1,1.886341,-9.646319,0.054899,-0.001926,-0.001040,0.028180,-1.805717,-4.066245,-7.853833,-0.096068,-0.384913,-0.482805,179.686240,-178.189158,-11.063470,0.096342,-0.015992,0.001202,0.995219,1861.228638,81305.601562,-0.269132,27.678236,0.604980,0.397217,1.552188,14.625000,19.864052,0,0.000000,0," 202"
27," 101",5854,5848,1,1,1.904925,-9.636382,0.056653,-0.034363,-0.004555,0.021963,-1.325191,-5.507823,-8.334359,-0.052884,-1.074242,-0.426709,179.702660,-178.077389,-10.992636,0.097288,-0.016967,0.001210,0.995111,1861.417358,81303.890625,0.619860,1.084887,0.604980,0.585938,0.401116,14.750000,19.823345,0,0.000000,0," 202"
28," 101",7953,7947,1,1,1.825778,-9.655654,0.066890,0.026691,-0.005294,0.025945,-0.844666,-4.066245,-8.334359,0.362129,-0.113789,-0.337736,179.640027,-179.695761,-10.865278,0.093449,-0.002967,0.003114,0.995615,1861.284302,81306.148438,0.123706,-0.016610,0.654663,0.452881,0.467133,14.750000,19.845961,0,0.000000,0," 202"
29," 101",10212,10177,1,1,1.628915,-0.388354,10.288045,-0.118707,-0.083240,0.066514,-2.286243,-2.661117,18.425402,11.787920,-1.716317,10.138435,83.817124,-172.697700,159.643145,0.664472,-0.723496,-0.173112,-0.071149,1861.228027,81308.132812,-0.029239,0.063076,0.654663,0.396606,0.403215,14.750000,19.877621,0,0.000000,0," 202"
30," 101",12333,12309,1,1,1.258520,0.142178,9.926183,0.141395,-0.121195,0.203924,-1.325191,-6.024798,17.944876,-0.235906,-4.867030,-0.114830,89.550856,-173.628381,164.486146,0.702131,-0.697007,-0.134448,-0.055827,1861.166260,81308.000000,-0.282524,-0.006117,0.654663,0.334839,0.418205,14.750000,19.882143,0,0.000000,0," 202"
31," 101",14459,14458,1,1,1.077603,-0.158486,9.962224,0.004856,-0.008624,0.220584,-1.805717,-4.583220,18.905928,0.056219,0.594711,-0.286217,87.428020,-174.363624,163.481930,0.687909,-0.709792,-0.137508,-0.063777,1861.347900,81306.609375,0.458773,0.173821,0.663452,0.516479,0.407058,14.750000,19.895712,0,0.000000,0," 202"
32," 101",16658,16657,1,1,1.267116,-0.102563,9.931539,0.010328,0.041103,0.211480,-1.325191,-5.544272,19.386454,0.548211,-0.910679,0.764499,87.073328,-173.277050,162.921636,0.687660,-0.708329,-0.147617,-0.060022,1861.198975,81305.921875,-0.073984,-0.097959,0.735840,0.367554,0.428578,14.750000,19.918327,0,0.000000,0," 202"
33," 101",18785,18752,1,1,1.119615,-0.133240,9.912083,-0.082074,0.004787,0.174666,-1.325191,-5.544272,17.944876,0.914208,-1.901596,0.428273,87.428744,-173.555885,163.665717,0.688679,-0.709183,-0.138329,-0.060385,1861.266235,81306.085938,0.114653,0.128763,0.735840,0.434814,0.383141,14.875000,19.945463,0,0.000000,0," 202"
34," 101",20907,20894,1,1,-0.172129,-3.100593,9.459870,-0.305907,-0.310580,0.145980,-3.247294,-7.946902,18.425402,6.575130,-8.959210,5.633729,74.810386,175.239295,162.534064,0.581969,-0.797824,-0.086398,-0.131620,1861.096680,81308.203125,-0.782927,0.014766,0.735840,0.265259,0.384163,14.875000,19.972601,0,0.000000,0," 202"
35," 101",23024,22998,1,1,2.013934,1.237523,9.686424,0.038449,-0.035134,0.169531,-0.844666,-4.102695,17.944876,-5.311333,7.957532,-0.461433,96.815896,-168.182070,177.497601,0.745231,-0.658457,-0.091394,0.052079,1861.312988,81303.734375,0.198685,-0.001845,0.735840,0.481567,0.324214,15.000000,19.990692,0,0.000000,0," 202"
36," 101",25173,25147,1,1,1.292740,0.225893,9.964309,0.003978,-0.006489,0.249353,-1.805717,-4.583220,18.905928,-1.273447,0.445740,0.062775,90.511864,-172.534799,173.727364,0.710197,-0.698866,-0.084601,0.006981,1861.357178,81304.875000,0.664817,-0.025228,0.735840,0.525757,0.335924,14.875000,20.017828,0,0.000000,0," 202"
38," 101",29497,29476,1,1,1.316543,0.241774,9.924484,0.039168,-0.083541,0.212921,-1.805717,-5.063746,19.386454,-0.378530,0.117030,-0.127523,90.965846,-172.558131,173.246314,0.712983,-0.695703,-0.087405,0.003510,1861.142578,81309.406250,-0.018091,0.079756,0.735840,0.311157,0.358213,15.000000,20.094713,0,0.000000,0," 202"
39," 101",31687,31677,1,1,1.216945,0.309485,9.979312,-0.027416,0.041064,0.256881,-1.325191,-6.505324,18.425402,-0.935025,0.127427,0.008857,90.609337,-172.721551,172.501400,0.710824,-0.697466,-0.090923,-0.001842,1861.088989,81306.484375,-0.049238,-0.026730,0.735840,0.257568,0.281949,15.125000,20.126373,0,0.000000,0," 202"
40," 101",33829,33799,1,1,1.238735,0.263040,9.903405,0.000568,-0.013581,0.183032,-1.325191,-3.622169,18.425402,0.483214,-0.125611,0.505621,90.640408,-172.737984,172.450447,0.711012,-0.697246,-0.091132,-0.002284,1861.284424,81306.359375,0.453359,-0.071555,0.735840,0.453003,0.369070,15.000000,20.162554,0,0.000000,0," 202"
41," 101",35909,35881,1,1,1.301933,0.348807,9.876803,-0.013100,0.007698,0.167335,-2.286243,-4.583220,16.983824,-0.219479,0.172603,-0.636448,90.943791,-172.216458,172.328678,0.712853,-0.694838,-0.095081,-0.000091,1861.076050,81308.906250,-0.595462,-0.179437,0.735840,0.244629,0.370082,15.125000,20.207779,0,0.000000,0," 202"
42," 101",37998,37958,1,1,1.132614,0.219473,9.980005,-0.021785,-0.019216,0.196782,-2.286243,-5.063746,17.944876,0.080394,-0.909589,-0.409468,90.229271,-173.484305,171.683225,0.707804,-0.700477,-0.090572,-0.011912,1861.202393,81306.390625,-0.258198,-0.125606,0.735840,0.370972,0.346240,15.125000,20.225868,0,0.000000,0," 202"
43," 101",40087,40087,1,1,1.036549,0.178710,9.968039,0.001433,-0.015835,0.222368,-2.766768,-5.063746,17.944876,-0.689097,0.364186,0.846892,90.239264,-173.986379,171.635509,0.708421,-0.700070,-0.088459,-0.014690,1861.225098,81309.078125,-0.021028,0.087182,0.735840,0.393677,0.390602,15.125000,20.266571,0,0.000000,0," 202"
44," 101",42210,42208,1,1,0.934275,0.156429,10.000278,0.009756,0.002780,0.244039,-1.805717,-5.544272,19.386454,-0.416680,0.615153,-0.467064,90.033204,-174.644645,171.015178,0.706955,-0.701372,-0.088251,-0.022418,1860.983032,81311.054688,-0.068558,-0.106829,0.735840,0.151611,0.176660,15.250000,20.298229,0,0.000000,0," 202"
45," 101",44305,44256,1,1,0.882458,0.137587,9.950175,-0.037486,0.032481,0.227457,-2.286243,-4.102695,17.944876,-0.877713,-0.328641,-1.024611,89.893342,-174.789718,170.982229,0.706063,-0.702321,-0.087593,-0.023409,1861.099121,81307.281250,0.601259,-0.218471,0.735840,0.267700,0.121217,15.250000,20.325363,0,0.000000,0," 202"
46," 101",46404,46392,1,1,0.817767,-0.204469,9.989131,-0.075574,0.018848,0.223331,-1.805717,-4.583220,18.425402,-5.580974,2.167940,-3.297787,87.863950,-175.190500,169.146411,0.692944,-0.713552,-0.097029,-0.035476,1860.965820,81311.351562,-0.153614,0.125167,0.735840,0.134399,0.201805,15.250000,20.352499,0,0.000000,0," 202"
47," 101",48501,48480,1,1,0.711972,-0.171684,9.990414,0.018364,-0.027136,0.216169,-2.286243,-5.544272,18.905928,0.242631,-1.038739,0.437264,88.442501,-176.277525,169.428102,0.696243,-0.711141,-0.088543,-0.041041,1861.258545,81306.601562,1.343028,0.108296,0.735840,0.427124,0.237485,15.375000,20.379633,0,0.000000,0," 202"
48," 101",50680,50633,1,1,0.712640,-0.154247,9.949499,-0.033660,-0.052127,0.211202,-1.805717,-5.544272,18.905928,0.523451,-1.050344,0.127866,88.662146,-175.956574,169.579021,0.697774,-0.709676,-0.089471,-0.038291,1861.253540,81307.312500,0.175539,0.078699,0.735840,0.422119,0.350579,15.250000,20.420334,0,0.000000,0," 202"
49," 101",52781,52755,1,1,0.708010,-0.072372,10.002997,-0.018386,0.033643,0.227210,-1.805717,-6.024798,17.464350,1.281817,-0.218258,1.296499,88.642168,-175.995506,169.179742,0.697498,-0.709512,-0.091715,-0.040949,1861.067871,81311.953125,0.083037,-0.075746,0.735840,0.236450,0.286369,15.375000,20.461035,0,0.000000,0," 202"
50," 101",54898,54892,1,1,0.857760,-0.006906,9.918954,0.097190,0.046742,0.154391,-3.247294,-6.024798,18.425402,2.016295,-2.475010,-2.069253,88.746936,-175.715496,168.963840,0.698174,-0.708473,-0.094707,-0.040605,1861.060547,81307.195312,0.093960,-0.152585,0.735840,0.229126,0.232297,15.375000,20.488169,0,0.000000,0," 202"
51," 101",57005,56990,1,1,0.737489,0.186245,10.008735,-0.045126,0.025077,0.236464,-2.766768,-5.063746,18.425402,-0.267191,-2.087366,-0.237048,90.072525,-175.401758,168.674117,0.707032,-0.699245,-0.096458,-0.043091,1860.950806,81307.062500,-1.076643,-0.268340,0.735840,0.119385,0.218999,15.375000,20.524345,0,0.000000,0," 202"
52," 101",59122,59090,1,1,0.881431,0.231838,9.937411,0.049119,0.011619,0.177991,-2.286243,-4.583220,18.425402,0.370619,-1.212113,-0.131658,90.200660,-175.048596,168.192275,0.707065,-0.698321,-0.102973,-0.042463,1861.169922,81308.195312,-0.199351,0.141047,0.735840,0.338501,0.444169,15.500000,20.551479,0,0.000000,0," 202"
53," 101",61249,61224,1,1,0.924318,-0.189516,9.963410,0.114181,-0.084677,0.205979,-0.844666,-3.622169,17.944876,0.716528,-3.019647,-1.087183,88.102439,-175.795764,165.427072,0.692566,-0.709200,-0.116392,-0.061976,1861.322266,81304.132812,-0.071429,0.033387,0.735840,0.490845,0.429255,15.500000,20.587656,0,0.000000,0," 202"
54," 101",63380,63355,1,1,0.767522,-0.117597,9.994224,-0.031406,-0.067639,0.223064,-2.286243,-5.063746,16.983824,0.701734,0.167630,-0.627838,88.629539,-175.739456,165.392402,0.693598,-0.708189,-0.115851,-0.062997,1861.157959,81310.171875,-0.708025,-0.031419,0.735840,0.326538,0.423750,15.500000,20.614790,0,0.000000,0," 202"
55," 101",65515,65493,1,1,0.872491,0.036373,9.987557,-0.030475,0.003909,0.224613,-1.325191,-4.583220,18.425402,-0.516138,0.316099,-0.457556,88.902077,-174.945788,165.167293,0.697828,-0.703203,-0.122672,-0.059094,1861.095093,81305.687500,-0.940441,-0.101121,0.735840,0.263672,0.404893,15.500000,20.632877,0,0.000000,0," 202"
56," 101",67714,67691,1,1,0.880165,0.003379,9.979280,0.054983,-0.012442,0.216862,-1.805717,-4.102695,17.944876,0.302756,-0.052249,0.245957,88.771053,-175.444242,164.814282,0.696555,-0.704150,-0.121912,-0.064196,1861.355225,81307.515625,0.248331,0.060427,0.735840,0.523804,0.472150,15.500000,20.669054,0,0.000000,0," 202"
57," 101",69847,69832,1,1,0.863004,0.029803,9.968977,-0.029509,0.001255,0.205263,-0.844666,-4.102695,18.905928,-0.724173,0.276800,-0.190647,88.843754,-175.015237,164.585170,0.697122,-0.703002,-0.125857,-0.063005,1861.126465,81306.671875,-0.520270,-0.132991,0.735840,0.295044,0.416930,15.625000,20.696186,0,0.000000,0," 202"
58," 101",72033,72020,1,1,0.937504,0.123277,9.968042,0.053318,0.006037,0.211647,-2.766768,-5.544272,18.425402,0.147417,0.915207,0.099257,89.187265,-174.942236,164.240218,0.699419,-0.699947,-0.129878,-0.063394,1861.062500,81311.445312,-1.066232,-0.254207,0.747314,0.231079,0.459893,15.625000,20.732363,0,0.000000,0," 202"
59," 101",74110,74085,1,1,0.935738,0.126217,9.981600,-0.013771,0.009154,0.225146,-2.286243,-6.024798,18.425402,-0.596533,-0.200106,0.187672,89.170374,-174.573502,164.035558,0.699318,-0.699696,-0.131239,-0.064469,1861.262329,81312.429688,-0.179122,0.143108,0.868530,0.430908,0.534107,15.625000,20.764017,0,0.000000,0," 202"
60," 101",76184,76151,1,1,0.944320,0.123802,9.975945,-0.002533,-0.013729,0.220294,-1.805717,-5.544272,18.425402,0.849323,0.280757,0.049347,89.272184,-174.591779,164.015928,0.699232,-0.699725,-0.131611,-0.064331,1861.346924,81306.679688,-0.684676,0.026647,0.868530,0.515503,0.613865,15.750000,20.791149,0,0.000000,0," 202"
61," 101",78275,78264,1,1,0.998006,0.136567,9.946500,0.132745,-0.020721,0.195473,-2.286243,-5.063746,18.425402,1.617329,0.383788,-0.840438,89.260232,-175.041971,163.656674,0.699119,-0.699453,-0.131138,-0.069294,1861.650757,81301.070312,0.351586,0.189043,0.868530,0.819336,0.664968,15.750000,20.813759,0,0.000000,0," 202"
62," 101",80364,80333,1,1,1.057989,0.112834,9.966002,-0.012544,0.039307,0.221553,-1.805717,-6.505324,17.944876,-0.244159,1.987246,0.888340,88.570068,-173.954277,162.484613,0.696072,-0.699792,-0.144720,-0.069498,1861.452881,81303.171875,-0.362249,-0.106718,0.868530,0.621460,0.658338,15.750000,20.840889,0,0.000000,0," 202"
63," 101",82467,82453,1,1,1.036365,0.091436,9.963008,0.007493,-0.031336,0.216130,-2.286243,-5.063746,17.944876,-0.322190,1.751814,-0.012491,88.863821,-174.227771,162.188443,0.695350,-0.700053,-0.145568,-0.072279,1861.529297,81303.312500,0.073566,0.064063,0.868530,0.697876,0.635813,15.750000,20.868021,0,0.000000,0," 202"
