checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, accelworld x,accelworld y,accelworld z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,filteredvvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,18820,18735,1,1,9.978281,-0.215877,0.725296,-3.127195,6.569995,-2.931170,4.208030,-29.932068,0.605210,9.135806,24.715097,26.410406,732.000000,804.000000,1807.000000,138.659944,-6.103051,-106.659763,0.170557,0.573044,0.738170,-0.312469,1961.409180,80672.820312,0.256219,0.551932,0.351562,0.098145,0.107832,0.000000,0.000000,0,202
101,18948,18735,1,1,9.978281,-0.215877,0.725296,-3.127195,6.569995,-2.931170,4.208030,-29.932068,0.605210,9.135806,24.715097,26.410406,732.000000,804.000000,1807.000000,138.659944,-6.103051,-106.659763,0.170557,0.573044,0.738170,-0.312469,1961.409180,80672.820312,0.256219,0.551932,0.351562,0.098145,0.107832,0.000000,0.000000,0,202
101,19102,19089,1,1,9.084380,-0.479682,3.814770,-3.438236,9.136503,-8.382772,0.129203,-73.886200,-3.723014,8.891369,31.935116,24.788074,692.000000,2066.000000,1696.000000,122.447834,-1.858640,-108.356826,0.270175,0.519251,0.706048,-0.398599,1961.322754,80674.492188,0.196337,0.828092,0.351562,0.011719,0.078165,0.000000,0.000000,0,202
101,19175,19089,1,1,9.084380,-0.479682,3.814770,-3.438236,9.136503,-8.382772,0.129203,-73.886200,-3.723014,8.891369,31.935116,24.788074,692.000000,2066.000000,1696.000000,122.447834,-1.858640,-108.356826,0.270175,0.519251,0.706048,-0.398599,1961.322754,80674.492188,0.196337,0.828092,0.351562,0.011719,0.078165,0.000000,0.000000,0,202
101,19251,19089,1,1,9.084380,-0.479682,3.814770,-3.438236,9.136503,-8.382772,0.129203,-73.886200,-3.723014,8.891369,31.935116,24.788074,692.000000,2066.000000,1696.000000,122.447834,-1.858640,-108.356826,0.270175,0.519251,0.706048,-0.398599,1961.322754,80674.492188,0.196337,0.828092,0.351562,0.011719,0.078165,0.000000,0.000000,0,202
101,19414,19410,1,1,5.605614,-0.548456,7.768777,-1.173626,6.408142,-16.846277,-13.912063,-94.995330,7.204001,7.357531,39.046429,14.674072,441.000000,3309.000000,1004.000000,98.910428,6.501450,-105.936944,0.425260,0.427489,0.627853,-0.492145,1961.190674,80676.898438,-0.113647,0.772376,0.351562,-0.120361,-0.007245,0.000000,0.000000,0,202
101,19492,19410,1,1,5.605614,-0.548456,7.768777,-1.173626,6.408142,-16.846277,-13.912063,-94.995330,7.204001,7.357531,39.046429,14.674072,441.000000,3309.000000,1004.000000,98.910428,6.501450,-105.936944,0.425260,0.427489,0.627853,-0.492145,1961.190674,80676.898438,-0.113647,0.772376,0.351562,-0.120361,-0.007245,0.000000,0.000000,0,202
101,19574,19410,1,1,5.605614,-0.548456,7.768777,-1.173626,6.408142,-16.846277,-13.912063,-94.995330,7.204001,7.357531,39.046429,14.674072,441.000000,3309.000000,1004.000000,98.910428,6.501450,-105.936944,0.425260,0.427489,0.627853,-0.492145,1961.190674,80676.898438,-0.113647,0.772376,0.351562,-0.120361,-0.007245,0.000000,0.000000,0,202
101,19742,19736,1,1,1.494015,0.495020,9.631599,4.095956,-0.236612,-18.656054,-13.113996,-30.119502,-2.003381,6.062018,42.925327,3.887752,229.000000,3987.000000,266.000000,78.331724,23.883409,-100.490319,0.585557,0.271815,0.577627,-0.499586,1961.150146,80676.070312,-0.351992,0.097734,0.351562,-0.160889,-0.114152,0.000000,0.000000,0,202
101,19887,19736,1,1,1.494015,0.495020,9.631599,4.095956,-0.236612,-18.656054,-13.113996,-30.119502,-2.003381,6.062018,42.925327,3.887752,229.000000,3987.000000,266.000000,78.331724,23.883409,-100.490319,0.585557,0.271815,0.577627,-0.499586,1961.150146,80676.070312,-0.351992,0.097734,0.351562,-0.160889,-0.114152,0.000000,0.000000,0,202
