timestamp(ms),Data age,State,Altitude,Verticalvel,RSSI,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Pitch,Yaw,Roll,Uptime,
"1721516645.08","0.917",,,,,,,,,,,,,,,
"1721516645.162",,"0","1.1",,,,,,,,,,,,,
"1721516645.163",,,,"1.27","-80","0.49","-0.22","9.91",,,,,,,,
"1721516645.164",,,,,,,,,"0","0.01","0.02",,,,,
"1721516645.165",,,,,,,,,,,,"1.51","3.13","1.81","1481283",
"1721516645.18","0.015",,,,,,,,,,,,,,,
"1721516645.282","0.116",,,,,,,,,,,,,,,
"1721516645.382","0.217",,,,,,,,,,,,,,,
"1721516645.483","0.318",,,,,,,,,,,,,,,
"1721516645.584","0.419",,,,,,,,,,,,,,,
"1721516645.685","0.52",,,,,,,,,,,,,,,
"1721516645.786","0.621",,,,,,,,,,,,,,,
"1721516645.887","0.722",,,,,,,,,,,,,,,
"1721516645.989","0.823",,,,,,,,,,,,,,,
"1721516646.089","0.924",,,,,,,,,,,,,,,
"1721516646.163",,"0","1.2",,,,,,,,,,,,,
"1721516646.164",,,,"1.28","-80","0.54",,,,,,,,,,
"1721516646.165",,,,,,,"-0.16","9.9","0","0.01","0",,,,,
"1721516646.166",,,,,,,,,,,,"1.51","-3.13","1.81","1482286",
"1721516646.19","0.024",,,,,,,,,,,,,,,
"1721516646.291","0.125",,,,,,,,,,,,,,,
"1721516646.393","0.226",,,,,,,,,,,,,,,
"1721516646.493","0.327",,,,,,,,,,,,,,,
"1721516646.594","0.428",,,,,,,,,,,,,,,
"1721516646.695","0.529",,,,,,,,,,,,,,,
"1721516646.796","0.63",,,,,,,,,,,,,,,
"1721516646.897","0.731",,,,,,,,,,,,,,,
"1721516646.998","0.832",,,,,,,,,,,,,,,
"1721516647.099","0.933",,,,,,,,,,,,,,,
"1721516647.166",,"0",,,,,,,,,,,,,,
"1721516647.167",,,"1.2","1.28","-81","0.47","-0.19","9.87",,,,,,,,
"1721516647.168",,,,,,,,,"-0.03","-0.01","0","1.51",,,,
"1721516647.169",,,,,,,,,,,,,"3.13","1.81","1483288",
"1721516647.2","0.031",,,,,,,,,,,,,,,
"1721516647.301","0.132",,,,,,,,,,,,,,,
"1721516647.402","0.233",,,,,,,,,,,,,,,
"1721516647.503","0.334",,,,,,,,,,,,,,,
"1721516647.604","0.435",,,,,,,,,,,,,,,
"1721516647.705","0.536",,,,,,,,,,,,,,,
"1721516647.806","0.637",,,,,,,,,,,,,,,
"1721516647.907","0.738",,,,,,,,,,,,,,,
"1721516648.008","0.839",,,,,,,,,,,,,,,
"1721516648.11","0.94",,,,,,,,,,,,,,,
"1721516648.169",,"0","1.2",,,,,,,,,,,,,
"1721516648.17",,,,"1.27","-81","0.5",,,,,,,,,,
"1721516648.171",,,,,,,"-0.17","9.86","0",,,,,,,
"1721516648.172",,,,,,,,,,"-0.02","0","1.51","3.13",,,
"1721516648.173",,,,,,,,,,,,,,"1.82","1484290",
"1721516648.21","0.037",,,,,,,,,,,,,,,
