, checksum,uptime mp,uptime nav,missiontime,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros fired,pyros cont,pyros state, checksum2
221, 101,17502,17497,-560,1,1,0.878999,-9.772694,0.478411,-0.007384,-0.065923,0.022577,0.769756,-8.732251,5.653450,0.623576,0.381839,-0.225061,177.591298,-176.865372,-5.249411,0.045192,-0.028279,0.019736,0.998383,1833.507690,81666.203125,-0.741926,-0.596042,1.300659,0.829102,0.939976,16.375000,20.405514,0,2.900000,0,0,0, 202
222, 101,17602,17599,-460,1,1,0.916888,-9.803061,0.463066,-0.045627,-0.001757,0.055624,1.250281,-9.212777,6.614501,-0.577672,-0.288916,-0.474557,177.328049,-176.822683,-5.227037,0.044923,-0.028750,0.022018,0.998334,1833.510986,81668.742188,0.978472,-0.679278,1.300659,0.832397,0.892108,16.375000,20.419123,0,2.900000,0,0,0, 202
223, 101,17702,17701,-360,1,1,0.957766,-9.937167,0.446229,-0.055335,-0.045240,0.191928,0.289230,-9.212777,5.653450,-7.686779,-4.254048,-7.237232,177.713326,-176.952757,-5.323592,0.045885,-0.027481,0.018691,0.998394,1833.670654,81669.984375,3.618616,-0.204344,1.300659,0.992065,0.937927,16.375000,20.410051,0,2.900000,0,0,0, 202
224, 101,17801,17787,-261,1,1,0.841250,-9.433781,-0.053449,-0.015357,0.209035,-0.331953,1.250281,-8.732251,5.172924,-4.802107,1.428982,2.871453,179.064119,-176.947184,-4.985555,0.043259,-0.026967,0.006998,0.998675,1833.822632,81665.937500,2.313851,0.705562,1.300659,1.144043,1.017077,16.375000,20.414587,0,2.900000,0,0,0, 202
225, 101,17901,17889,-161,1,1,0.883037,-9.798664,0.475278,-0.092911,-0.107857,0.047817,0.769756,-8.251725,5.653450,-13.773553,-0.509581,6.390971,177.886526,-176.944547,-4.755360,0.040973,-0.027398,0.017314,0.998634,1833.634033,81664.828125,-3.187619,0.609198,1.300659,0.955444,1.029951,16.375000,20.419123,0,2.900000,0,0,0, 202
226, 101,18002,17991,-60,1,1,0.975489,-10.071815,0.472524,-0.006986,-0.141568,0.327979,0.769756,-8.732251,5.653450,-22.656310,-4.593814,-9.646767,178.125596,-177.028559,-5.631307,0.048676,-0.026696,0.015058,0.998344,1833.822998,81661.187500,1.089559,-0.211700,1.300659,1.144409,0.966488,16.375000,20.410051,0,2.900000,0,0,0, 202
227, 101,18381,18371,319,1,1,0.877224,-9.756371,0.330254,-0.058334,0.054136,-0.000030,0.289230,-9.212777,6.133976,-5.569706,-3.127338,-1.670083,177.768049,-176.936447,-4.899509,0.042200,-0.027534,0.018309,0.998562,1833.670166,81664.421875,-0.423442,0.186355,1.300659,0.991577,1.010662,16.375000,20.332933,2,2.910000,0,0,0, 202
228, 101,18591,18587,529,1,1,0.816961,-9.711277,-0.118418,0.019446,0.175362,-0.056298,0.289230,-9.212777,5.172924,2.754547,-1.505152,7.736842,179.660982,-177.571436,-4.893583,0.042619,-0.021298,0.002050,0.998862,1833.545654,81667.945312,-0.902890,-0.035407,1.300659,0.867065,0.928967,16.375000,20.446341,2,2.900000,0,0,0, 202
229, 101,18695,18682,633,1,1,0.811872,-9.720248,-0.057471,0.051601,0.147900,-0.047994,-0.191296,-9.212777,6.133976,-0.151237,-0.768147,-1.244697,179.456773,-177.676525,-5.064136,0.044073,-0.020464,0.003839,0.998811,1833.768799,81663.585938,2.215291,0.204177,1.300659,1.090210,0.966538,16.375000,20.428196,2,2.910000,0,0,0, 202
230, 101,18799,18793,737,1,1,0.570035,-9.506111,0.034937,0.412794,0.019654,-0.286720,0.289230,-8.732251,5.172924,-3.013669,0.082829,-13.088377,179.563064,-177.512833,-5.927452,0.051609,-0.021871,0.002685,0.998424,1833.520020,81667.625000,-2.365830,-0.018384,1.300659,0.841431,0.947195,16.375000,20.423660,2,2.910000,0,0,0, 202
