timestamp(ms),navlooprate,prof_period_us,prof_overruns,prof_loop_work_avg_us,prof_loop_work_max_us,prof_getsensordata_avg_us,prof_getsensordata_max_us,prof_imu_avg_us,prof_imu_max_us,prof_baro_avg_us,prof_baro_max_us,prof_adxl_avg_us,prof_adxl_max_us,prof_mag_avg_us,prof_mag_max_us,prof_sensor_post_avg_us,prof_sensor_post_max_us,prof_kfrun_avg_us,prof_kfrun_max_us,prof_accel_adjust_avg_us,prof_accel_adjust_max_us,loggingtime_avg_us,loggingtime_max_us,loggingtime_count,
"1779671851.454","92.931793",,,,,,,,,,,,,,,,,,,,,,,,
"1779671851.455",,"10000","40",,,,,,,,,,,,,,,,,,,,,,
"1779671851.456",,,,"10495.12793","12282",,,,,,,,,,,,,,,,,,,,
"1779671851.457",,,,,,"8194.106445","9511",,,,,,,,,,,,,,,,,,
"1779671851.458",,,,,,,,"4368.787109","5283","2201.574463",,,,,,,,,,,,,,,
"1779671851.459",,,,,,,,,,,"2749","883.48938","1141",,,,,,,,,,,,
"1779671851.46",,,,,,,,,,,,,,"675.212769","938","23.659575",,,,,,,,,
"1779671851.461",,,,,,,,,,,,,,,,,"91","2156.383057","2735",,,,,,
"1779671851.462",,,,,,,,,,,,,,,,,,,,"1200.199951","1391",,,,
"1779671851.959","93.199768",,,,,,,,,,,,,,,,,,,,,,,,
"1779671851.96",,"10000","42",,,,,,,,,,,,,,,,,,,,,,
"1779671851.961",,,,"10484.850586","12201",,,,,,,,,,,,,,,,,,,,
"1779671851.962",,,,,,"8204.978516","9294","4379.872559",,,,,,,,,,,,,,,,,
"1779671851.963",,,,,,,,,"5365","2184.914795","2786",,,,,,,,,,,,,,
"1779671851.964",,,,,,,,,,,,"896.382996","1120","676.23407",,,,,,,,,,,
"1779671851.965",,,,,,,,,,,,,,,"786","25.80851","90",,,,,,,,
"1779671851.966",,,,,,,,,,,,,,,,,,"2159.744629","2867",,,,,,
"1779671851.967",,,,,,,,,,,,,,,,,,,,"1210.25","1393",,,,
"1779671852.468","92.747345","10000","40",,,,,,,,,,,,,,,,,,,,,,
"1779671852.469",,,,"10565.702148","13711",,,,,,,,,,,,,,,,,,,,
