timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660680.122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.415405","8.5","24.270966","0","0","0",,,,
"1779660680.123",,"17214","17191","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000957","0.000207","0.000335",
"1779660680.124",,,,,"-6.205512","7.603444","-1.741481","7.936276","-46.214558","74.846535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.125",,,,,,,,,,,"9.967622","3.844207","-7.207888","-11.052094","13.743375",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.128",,,,,,,,,,,,,,,,"0.037122","-0.023667","0.166525",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.13",,,,,,,,,,,,,,,,,,,"-1.227194","0.2006","0.500543","1970.327881",,,,,,,,,,,,,,,,,,,
"1779660680.132",,,,,,,,,,,,,,,,,,,,,,,"-0.974735","1.389197","0.139164",,,,,,,,,,,,,,,,
"1779660680.134",,,,,,,,,,,,,,,,,,,,,,,,,,"10.208172","-4.044144","-38.71788",,,,,,,,,,,,,
"1779660680.136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.580369","0",,,,,,,,,,
"1779660680.139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.239136","8.5",,,,,,,,
"1779660680.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.261995","0","0","0",,,,
"1779660680.141",,"17191","17191","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000957","0.000207","0.000335",
"1779660680.143",,,,,"-6.211094","7.55909","-1.752366","7.833967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.144",,,,,,,,,"-45.732243","74.978081","9.939231","2.883155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.146",,,,,,,,,,,,,"-8.649466","-10.571568","13.960082",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.147",,,,,,,,,,,,,,,,"0.007675","-0.007856","0.138225",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.149",,,,,,,,,,,,,,,,,,,"-1.07135","0.554732","1.041831","1970.353882",,,,,,,,,,,,,,,,,,,
"1779660680.151",,,,,,,,,,,,,,,,,,,,,,,"-0.727304","1.387586","0.167219","10.222707","-4.060249","-38.725574",,,,,,,,,,,,,
"1779660680.152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.592272","0","0.265137",,,,,,,,,
"1779660680.153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.5","24.270966","0","0","0","0.000957","0.000206","0.000335",
"1779660680.154",,"17170","17170","0","-6.216294","7.598954","-1.731664","8.593979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.156",,,,,,,,,"-45.907627","75.343468","9.969206","3.844207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.159",,,,,,,,,,,,,"-7.688414","-12.013146","14.771774",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.16",,,,,,,,,,,,,,,,"0.030591","-0.037426","0.168089",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.163",,,,,,,,,,,,,,,,,,,"-1.007613","-0.657481","-1.540405","1970.461426",,,,,,,,,,,,,,,,,,,
"1779660680.165",,,,,,,,,,,,,,,,,,,,,,,"0.126465","1.386363","0.141253",,,,,,,,,,,,,,,,
"1779660680.167",,,,,,,,,,,,,,,,,,,,,,,,,,"10.231173","-4.079317","-38.742984",,,,,,,,,,,,,
"1779660680.169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.83487","0.602903","0",,,,,,,,,,
"1779660680.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.372681","8.5","24.266481",,,,,,,
"1779660680.171",,"17149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0.000957","0.000206","0.000335",
"1779660680.172",,,"17148","0","-6.183346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.174",,,,,,"7.587699","-1.746459","7.848582","-45.746857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.176",,,,,,,,,,"74.890381","9.942689","2.402629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.177",,,,,,,,,,,,,"-8.649466","-11.052094","14.238493",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.179",,,,,,,,,,,,,,,,"0.045562","-0.022222","0.14156",,,,,,,,,,,,,,,,,,,,,,,
"1779660680.18",,,,,,,,,,,,,,,,,,,"-0.795156","0.599824","-1.431771","1970.405762","-0.167707","1.384963","0.132084",,,,,,,,,,,,,,,,
"1779660680.181",,,,,,,,,,,,,,,,,,,,,,,,,,"10.25176","-4.081332","-38.715107","0.83487",,,,,,,,,,,,
"1779660680.182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.603497","0","0.317017","8.5","24.270966","0","0","0",,,,
"1779660680.183",,"17127","17127","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000957","0.000206","0.000335",
"1779660680.186",,,,,"-6.194193","7.563591","-1.75555","7.994738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.188",,,,,,,,,"-46.30225","74.758842","9.932668","3.844207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.19",,,,,,,,,,,,,"-6.727362","-10.571568","13.106997",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.192",,,,,,,,,,,,,,,,"0.018992","-0.009942","0.131645",,,,,,,,,,,,,,,,,,,,,,,
