rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    2.6302,   -1.7581,   10.3617,   11.5426,    3.0408,   -3.9648,  -11.2146,   25.9140,   69.3833,   37.3750,87776.7109,    0.4623,   40.0271,   -0.7346,    0.7866,0,195875,1
0,    2.3517,   -0.1833,    9.5719,    3.9651,   -3.5920,   19.3373,  -12.1734,   25.7007,   65.0190,   37.5000,87775.1406,    0.6095,   40.1252,   -0.2560,    0.8392,0,200894,1
0,    2.3363,   -0.0836,    9.5966,   -0.1596,    0.4533,   -0.0043,  -12.6645,   26.6609,   63.9662,   37.5000,87776.1250,    0.5172,   40.2233,   -0.4909,    0.9875,0,205912,1
0,    2.3594,   -0.0450,    9.5970,   -0.0795,   -0.1214,    0.3383,  -12.2953,   28.1846,   65.1432,   37.6250,87772.3750,    0.8675,   40.3307,    0.5944,    0.8675,0,210931,1
0,    2.3752,   -0.0749,    9.5949,    1.6164,    1.2177,    1.1463,  -12.0938,   30.2109,   65.3726,   37.7500,87775.1406,    0.6095,   40.4335,   -0.0786,    1.0787,0,215949,1
0,    2.3565,   -0.0781,    9.5961,    1.2535,   -0.1683,    0.0635,  -12.9930,   32.1486,   66.5458,   37.7500,87773.5313,    0.7600,   40.5269,    0.2345,    1.0555,0,220969,1
0,    2.3287,   -0.0652,    9.6089,   -2.1788,    1.2929,   -1.7901,  -12.4690,   32.4073,   66.1401,   37.8750,87771.8672,    0.9151,   40.6250,    0.6549,    1.0888,0,225990,1
0,    2.3336,   -0.0678,    9.6085,   -2.6385,   -2.4196,    2.1520,  -13.9058,   32.3895,   67.0505,   38.0000,87774.0078,    0.7153,   40.7184,   -0.1582,    0.7911,0,231012,1
0,    2.3550,   -0.0072,    9.5884,   -0.0428,   -1.0052,    1.0851,  -13.7189,   32.9795,   68.0381,   38.1250,87772.7266,    0.8347,   40.8165,    0.7408,    0.8347,0,236034,1
0,    2.6270,   -0.3210,    9.4495,   10.2541,   12.8746,   -3.0660,  -12.2021,   37.7737,   74.3517,   38.1250,87772.8906,    0.8194,   40.9005,    0.1438,    0.9978,0,241086,1
