rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    0.7142,   -1.3730,    9.6783,    0.7430,    0.6884,    0.2120,   89.9584,   68.7518,   87.9481,   42.5000,87775.9922,    0.1911,   45.2425,   -0.0524,    0.4334,1,95358,1
0,    0.7336,   -1.3739,    9.6586,   -0.3043,   -0.0416,   -1.3730,   89.9646,   68.6323,   87.9876,   42.5000,87779.3281,   -0.1201,   45.2472,   -0.6184,    0.4334,1,95471,1
0,    0.6550,   -1.4153,    9.6947,    0.0257,   -0.6581,   -0.5942,   89.8608,   68.6213,   87.8974,   42.5000,87777.4766,    0.0525,   45.2472,   -0.5338,    0.4334,1,95583,1
0,    0.6689,   -1.3982,    9.6850,    2.8746,    0.2010,   -0.1152,   89.9912,   68.7036,   87.9194,   42.5000,87775.6563,    0.2229,   45.2378,   -0.1613,    0.4334,1,95698,1
0,    0.6868,   -1.3874,    9.6989,    0.7399,    1.0007,   -1.2456,   90.3122,   68.7793,   87.7477,   42.5000,87777.5078,    0.0497,   45.2332,    0.1105,    0.4334,1,95810,1
0,    0.7236,   -1.4056,    9.6882,    1.3546,    0.8110,   -1.3730,   90.4367,   68.8021,   87.7006,   42.5000,87774.4063,    0.3394,   45.2378,    0.5670,    0.4334,1,95923,1
0,    0.6448,   -1.3749,    9.6768,   -2.9838,   -1.0463,   -0.1669,   90.3835,   68.8633,   87.7182,   42.5000,87775.6172,    0.2268,   45.2378,   -0.0431,    0.5002,1,96037,1
0,    0.6983,   -1.3859,    9.6659,   -0.7065,   -1.0234,    0.0428,   90.2131,   68.8906,   87.5812,   42.5000,87777.5078,    0.0497,   45.2472,   -0.2166,    0.5002,1,96150,1
0,    0.6784,   -1.3952,    9.6960,    0.4734,   -0.1919,   -0.0918,   90.4121,   68.9428,   87.5558,   42.5000,87777.2422,    0.0752,   45.2378,   -0.7822,    0.5002,1,96262,1
0,    0.6899,   -1.3341,    9.6903,    1.4440,    1.9030,    1.2131,   90.5104,   69.0724,   87.6384,   42.5000,87777.0156,    0.0960,   45.2145,   -0.9946,    0.5002,1,96331,1
0,    0.7012,   -1.4378,    9.6794,    1.3787,    0.3280,   -0.7648,   90.5648,   69.1543,   87.5243,   42.5000,87778.6172,   -0.0539,   45.2332,   -0.8608,    0.5002,1,96443,1
