index, checksum,uptime mp,uptime nav,  errorflag mp,errorflag NAV,  accel x, accel y, accel z, accelworld x, accelworld y, accelworld z, accelhighg x, accelhighg y, accelhighg z, gyro x, gyro y, gyro z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, presusre, verticalvel,filtered vvel, maxalt, altitudeagl, filtered alt, imutemp, barotemp,state,battstate,pyros, fired checksum2\r
48, 101,54170,54141,1,1,-0.086820,-0.208682,9.943656,-0.003340,-0.001969,0.145224,-0.191296,-4.241947,9.723377,0.823845,-0.302802,0.169234,90.936920,-179.064843,-22.106532,0.131143,-0.140068,0.687238,0.700633,1308.410645,87022.445312,0.103456,-0.060713,0.509155,-0.014160,-0.034536,13.875000,18.859854,0,0.000000,0, 202
49, 101,56278,56278,1,1,-0.104130,-0.205579,9.953484,0.000624,0.002585,0.155151,-0.671822,-4.722473,11.164955,-0.003905,0.772757,-0.079085,90.851276,-178.999136,-22.361616,0.132105,-0.142192,0.687195,0.700066,1308.449219,87021.343750,0.133970,-0.099142,0.509155,0.024414,-0.027669,14.000000,18.923189,0,0.000000,0, 202
50, 101,58383,58373,1,1,-0.088429,-0.208405,9.940781,-0.003618,0.007738,0.142355,-0.671822,-4.722473,9.242851,-0.700316,-0.390862,-0.429782,90.865469,-179.044325,-22.773522,0.135078,-0.144206,0.686515,0.699754,1308.403076,87024.820312,-0.083427,0.018963,0.509155,-0.021729,-0.052000,14.000000,19.004618,0,0.000000,0, 202
51, 101,60560,60525,1,1,-0.105293,-0.209597,9.951510,-0.011073,-0.012932,0.153260,0.289230,-6.164050,9.242851,0.049713,1.075953,-1.009780,90.946455,-178.905358,-23.095735,0.136412,-0.146781,0.686136,0.699332,1308.515381,87022.414062,0.633715,0.054515,0.509155,0.090576,0.034385,14.125000,19.086044,0,0.000000,0, 202
52, 101,62671,62661,1,1,-0.085855,-0.197195,9.936115,-0.002703,-0.007764,0.137439,-0.671822,-4.241947,9.723377,-0.468714,-0.796277,-0.628636,90.896233,-179.082929,-23.103535,0.137198,-0.146072,0.686180,0.699283,1308.319092,87024.906250,0.339412,-0.153097,0.509155,-0.105713,-0.077275,14.125000,19.167471,0,0.000000,0, 202
53, 101,64777,64759,1,1,-0.089078,-0.213423,9.948346,0.001998,0.018941,0.150016,-2.113400,-6.164050,9.242851,0.172074,1.904127,-0.722788,90.808970,-179.046756,-23.763007,0.140954,-0.150286,0.685200,0.698603,1308.538818,87026.570312,0.037033,0.053584,0.509155,0.114014,0.111353,14.250000,19.239847,0,0.000000,0, 202
54, 101,66892,66857,1,1,-0.094833,-0.208964,9.944270,0.016043,-0.004730,0.145903,-0.671822,-5.683524,9.242851,0.260808,-0.712296,0.235467,90.903158,-179.102286,-24.089193,0.142794,-0.152370,0.684921,0.698052,1308.454834,87025.289062,-0.072354,0.136828,0.509155,0.030029,0.152155,14.250000,19.312223,0,0.000000,0, 202
55, 101,69011,69004,1,1,-0.081109,-0.186340,9.953662,-0.041627,-0.017554,0.154634,-0.671822,-5.202998,9.242851,-0.076800,-0.215711,-0.367653,90.883426,-178.890919,-24.492906,0.145687,-0.154388,0.685018,0.696914,1308.499634,87024.242188,-0.049336,-0.008343,0.509155,0.074829,0.037840,14.250000,19.371029,0,0.000000,0, 202
56, 101,71134,71110,1,1,-0.090207,-0.221795,9.953312,-0.019773,0.021959,0.155148,-0.671822,-5.683524,9.723377,-0.127851,0.984823,-0.742035,90.811579,-178.876562,-24.971566,0.148006,-0.157839,0.683384,0.697257,1308.576782,87021.968750,0.332122,0.026616,0.509155,0.151978,0.052207,14.500000,19.443403,0,0.000000,0, 202
57, 101,73263,73256,1,1,-0.087435,-0.200554,9.933714,-0.009392,-0.000841,0.135118,-0.191296,-4.241947,9.242851,-0.613872,-1.509929,-0.026798,90.839501,-178.999628,-25.025415,0.148620,-0.157852,0.683956,0.696562,1308.650513,87021.656250,0.414703,0.183568,0.509155,0.225708,0.157054,14.500000,19.515776,0,0.000000,0, 202
58, 101,75440,75414,1,1,-0.097428,-0.193688,9.950011,0.006250,0.007705,0.151368,-0.191296,-4.722473,9.723377,0.552725,-0.457872,0.173198,90.725574,-179.053409,-25.212166,0.149487,-0.159216,0.684084,0.695940,1308.643311,87020.273438,-0.203500,0.008788,0.509155,0.218506,0.223002,14.500000,19.592670,0,0.000000,0, 202
59, 101,77585,77582,1,1,-0.092192,-0.214655,9.943762,-0.003688,0.000707,0.145505,-0.191296,-5.202998,9.242851,-0.044086,-1.062589,-0.330807,90.876896,-178.961270,-25.865901,0.153380,-0.163212,0.682407,0.695814,1308.661499,87021.992188,0.610142,0.253252,0.509155,0.236694,0.209674,14.625000,19.660517,0,0.000000,0, 202
60, 101,79654,79654,1,1,-0.101763,-0.214568,9.930654,-0.008477,0.004724,0.132488,-0.191296,-4.722473,9.723377,-0.853925,-0.322752,-0.411940,90.821572,-178.875838,-26.334862,0.155817,-0.166418,0.681853,0.695056,1308.396729,87025.585938,-0.358968,-0.326968,0.509155,-0.028076,0.107904,14.625000,19.732885,0,0.000000,0, 202
61, 101,81729,81723,1,1,-0.104390,-0.198907,9.948409,-0.012254,0.011902,0.149930,-0.671822,-4.241947,9.242851,0.453241,0.838099,0.366340,90.689531,-178.881288,-26.429583,0.155928,-0.167424,0.682608,0.694048,1308.493774,87024.187500,-0.018517,-0.050358,0.509155,0.068970,0.029762,14.750000,19.809776,0,0.000000,0, 202
62, 101,83806,83765,1,1,-0.089388,-0.197296,9.957013,-0.018175,-0.009885,0.156046,-0.671822,-4.722473,8.762325,0.168692,0.763661,0.012590,90.769874,-178.884676,-26.704431,0.157731,-0.168929,0.681723,0.694145,1308.476318,87021.406250,0.015363,-0.159221,0.509155,0.051514,-0.090728,14.875000,19.855007,0,0.000000,0, 202
63, 101,85890,85848,1,1,-0.100190,-0.204663,9.953137,0.026562,-0.009679,0.154705,-0.191296,-5.202998,9.242851,-0.073515,-0.934384,0.189571,90.842165,-179.103283,-27.068909,0.161351,-0.169678,0.681074,0.693768,1308.661377,87020.078125,0.167139,0.083038,0.509155,0.236572,0.155381,14.875000,19.927372,0,0.000000,0, 202
64, 101,87978,87975,1,1,-0.086306,-0.195341,9.945645,-0.002434,0.001362,0.146937,-0.671822,-3.280895,9.242851,0.943809,-0.196520,-0.728373,90.759561,-179.024586,-27.562593,0.163831,-0.173117,0.680692,0.692711,1308.440552,87024.890625,-0.126079,-0.123829,0.509155,0.015747,0.002389,14.875000,19.986168,0,0.000000,0, 202
65, 101,90065,90058,1,1,-0.104800,-0.203835,9.937450,0.005374,0.004328,0.139091,-1.152348,-5.202998,8.762325,-0.017348,1.245986,-0.415841,90.728627,-178.945683,-28.013227,0.165815,-0.176530,0.679915,0.692140,1308.617065,87022.578125,1.032967,0.332099,0.509155,0.192261,0.050461,14.875000,20.058533,0,0.000000,0, 202
66, 101,92158,92142,1,1,-0.111029,-0.212687,9.961361,0.011638,0.007496,0.163240,-0.671822,-4.241947,9.723377,-0.053602,-0.137092,0.092769,90.727664,-178.922529,-28.470013,0.168264,-0.179547,0.679025,0.691646,1308.758911,87020.507812,0.182727,0.073812,0.509155,0.334106,0.231901,15.125000,20.117327,0,0.000000,0, 202
67, 101,94334,94332,1,1,-0.105184,-0.202343,9.938496,-0.016217,0.011195,0.140092,-1.152348,-5.202998,9.242851,0.455343,1.270268,-0.359224,90.664109,-178.812440,-28.867542,0.170807,-0.181773,0.678718,0.690743,1309.046997,87014.429688,1.183672,0.149758,0.622192,0.622192,0.383426,15.125000,20.180643,0,0.000000,0, 202
68, 101,96428,96423,1,1,-0.102401,-0.192498,9.947866,0.011433,-0.007393,0.149246,-0.671822,-5.202998,10.203903,0.277500,0.497928,0.792083,90.719385,-179.008221,-29.369332,0.174065,-0.184481,0.678251,0.689669,1308.796387,87019.226562,0.268599,0.031038,0.625977,0.371582,0.358291,15.125000,20.239437,0,0.000000,0, 202
69, 101,98531,98518,1,1,-0.105404,-0.207658,9.939614,0.000583,-0.003153,0.141341,-0.191296,-3.761421,9.723377,-0.174146,1.329205,0.059571,90.748981,-178.877600,-30.094968,0.178076,-0.189141,0.676634,0.688971,1308.496216,87026.632812,0.157620,-0.125704,0.625977,0.071411,0.084521,15.250000,20.316319,0,0.000000,0, 202
70, 101,100635,100618,1,1,-0.099975,-0.212413,9.934738,-0.011554,0.001972,0.136505,-1.152348,-5.202998,8.281800,-0.591065,1.808824,-0.554942,90.748345,-178.812945,-30.652841,0.181467,-0.192407,0.675545,0.688250,1308.513428,87022.585938,0.205567,-0.024947,0.625977,0.088623,0.060375,15.250000,20.375111,0,0.000000,0, 202
71, 101,102745,102708,1,1,-0.102591,-0.202416,9.957896,0.005961,-0.012663,0.159472,-0.191296,-5.202998,9.723377,-0.281711,-0.765069,-0.736903,90.764335,-178.926969,-31.136042,0.184396,-0.195205,0.675128,0.687092,1308.825317,87020.500000,0.993634,0.411091,0.625977,0.400513,0.274976,15.250000,20.433901,0,0.000000,0, 202
72, 101,104856,104848,1,1,-0.108663,-0.204543,9.945701,0.003543,0.001420,0.147396,-0.191296,-4.722473,10.203903,-0.609157,0.069116,-0.351864,90.673275,-178.873502,-31.300322,0.185108,-0.196447,0.674885,0.686785,1308.645264,87022.171875,-0.195633,0.049176,0.625977,0.220459,0.243613,15.375000,20.501734,0,0.000000,0, 202
73, 101,106984,106953,1,1,-0.111475,-0.192077,9.948160,0.010008,-0.023333,0.149606,-0.671822,-0.878266,9.723377,0.236207,0.181686,-0.273319,90.737745,-178.930056,-31.715980,0.187621,-0.198859,0.674591,0.685697,1308.794067,87019.093750,0.110595,0.030072,0.625977,0.369263,0.276343,15.375000,20.560524,0,0.000000,0, 202
74, 101,109128,109101,1,1,-0.109341,-0.209982,9.940980,-0.000970,0.006400,0.142796,-0.671822,-5.202998,10.203903,0.217569,0.660141,0.181213,90.654300,-178.818191,-32.050792,0.189427,-0.201043,0.673486,0.685650,1308.679199,87020.843750,0.562250,0.050665,0.625977,0.254395,0.230533,15.375000,20.623833,0,0.000000,0, 202
75, 101,111319,111295,1,1,-0.115622,-0.209716,9.957086,-0.001184,0.000505,0.158965,-1.632874,-5.202998,8.762325,-0.324312,0.258593,-0.392498,90.660434,-178.785611,-32.347305,0.190971,-0.203013,0.673054,0.685066,1308.888550,87018.828125,0.367226,0.245404,0.625977,0.463745,0.289864,15.500000,20.678099,0,0.000000,0, 202
76, 101,113443,113437,1,1,-0.099209,-0.198687,9.960944,-0.018632,-0.018781,0.162384,-1.152348,-5.202998,9.242851,-0.541699,0.038828,-0.848889,90.763051,-178.796403,-32.608334,0.192737,-0.204349,0.672000,0.685208,1308.382324,87025.484375,-0.881771,-0.075786,0.625977,-0.042480,0.005977,15.500000,20.741407,0,0.000000,0, 202
77, 101,115570,115550,1,1,-0.101460,-0.210814,9.948644,-0.024048,0.022768,0.150339,-1.632874,-3.280895,8.762325,0.233433,0.125610,0.180218,90.569804,-178.711039,-32.946394,0.194861,-0.206234,0.671913,0.684127,1308.456299,87025.437500,0.347720,0.036683,0.625977,0.031494,-0.017322,15.500000,20.795671,0,0.000000,0, 202
78, 101,117747,117742,1,1,-0.097924,-0.193784,9.955281,-0.020762,-0.008321,0.156623,-1.152348,-4.722473,10.203903,0.066325,-0.318065,-0.101858,90.675133,-178.799968,-33.054397,0.195828,-0.206535,0.672182,0.683495,1308.551758,87024.312500,0.764129,0.084369,0.625977,0.126953,-0.006773,15.750000,20.854456,0,0.000000,0, 202
79, 101,119851,119824,1,1,-0.104120,-0.191207,9.952368,-0.026514,-0.003171,0.153713,-0.191296,-5.202998,9.242851,0.136902,2.224241,-0.434604,90.607507,-178.741338,-33.381003,0.197532,-0.208693,0.671782,0.682743,1308.271240,87024.976562,0.467452,-0.147994,0.625977,-0.153564,-0.227560,15.625000,20.922283,0,0.000000,0, 202
80, 101,121930,121899,1,1,-0.071678,-0.186624,9.962957,0.101311,0.006187,0.163446,-1.632874,-2.800369,9.723377,-0.437476,-0.701440,0.122204,90.623981,-179.641024,-33.976783,0.205615,-0.207602,0.671905,0.680564,1308.367920,87027.054688,0.587711,0.165102,0.625977,-0.056885,-0.131754,15.750000,20.967501,0,0.000000,0, 202
81, 101,124015,123974,1,1,-0.090317,-0.230451,9.934444,-0.012735,0.016069,0.145853,-0.671822,-4.241947,9.242851,-0.143230,0.878414,-0.417195,90.618476,-178.776650,-34.352525,0.203305,-0.214393,0.669263,0.681755,1308.309204,87029.765625,0.428271,0.204193,0.625977,-0.115601,-0.059411,15.875000,21.030806,0,0.000000,0, 202
82, 101,126099,126097,1,1,-0.111110,-0.201356,9.944386,-0.002781,-0.004108,0.146044,-0.671822,-4.241947,10.203903,-0.154684,0.118881,-1.299139,90.609214,-178.795583,-34.876933,0.206011,-0.217848,0.668889,0.680212,1308.231079,87024.601562,0.422797,0.025122,0.625977,-0.193726,-0.221131,15.875000,21.094109,0,0.000000,0, 202
83, 101,128245,128230,1,1,-0.101199,-0.213667,9.942034,0.015813,-0.025430,0.143799,-1.152348,-5.683524,9.723377,-0.036496,-0.714617,-0.779470,90.808806,-178.900686,-35.563938,0.210302,-0.221632,0.667063,0.679470,1308.226196,87026.585938,0.116688,-0.020090,0.625977,-0.198608,-0.201762,15.875000,21.143847,0,0.000000,0, 202
84, 101,130326,130312,1,1,-0.095673,-0.201830,9.947979,-0.012413,-0.007641,0.149475,0.289230,-5.683524,10.203903,-0.048080,-0.674500,-0.484956,90.663993,-178.801566,-35.817758,0.211991,-0.222939,0.666971,0.678607,1308.349365,87023.390625,0.436215,-0.032416,0.625977,-0.075439,-0.179626,15.875000,21.207148,0,0.000000,0, 202
85, 101,132419,132401,1,1,-0.119627,-0.209136,9.946849,0.042599,-0.014627,0.148664,-1.152348,-4.241947,9.242851,0.044830,-1.607234,-0.247484,90.645531,-178.976351,-36.366837,0.214468,-0.226865,0.666004,0.677476,1308.342285,87025.195312,-0.601750,0.065373,0.625977,-0.082520,-0.019291,16.000000,21.265926,0,0.000000,0, 202
86, 101,134517,134488,1,1,-0.120930,-0.207112,9.951204,0.013039,-0.007025,0.153083,-1.152348,-3.761421,8.762325,-0.903318,1.073241,-0.731781,90.572823,-178.801211,-37.035874,0.218707,-0.230490,0.664738,0.676140,1308.438721,87024.132812,0.292172,0.046840,0.625977,0.013916,-0.021349,16.000000,21.320185,0,0.000000,0, 202
87, 101,136619,136617,1,1,-0.108129,-0.198127,9.963594,-0.016494,0.001314,0.165137,-0.191296,-3.761421,9.723377,0.118198,2.057049,0.716922,90.520743,-178.719809,-37.352505,0.219993,-0.232902,0.664239,0.675386,1308.517456,87024.945312,0.480693,-0.276302,0.625977,0.092651,-0.015521,16.125000,21.378962,0,0.000000,0, 202
88, 101,138721,138712,1,1,-0.172109,-0.185805,9.909790,-0.177891,-0.301249,0.105851,-0.671822,-3.761421,8.762325,0.484631,-0.083177,0.024159,91.983039,-177.527750,-37.704461,0.220405,-0.236815,0.663550,0.674568,1308.336670,87024.054688,-0.186939,0.000432,0.625977,-0.088135,-0.036735,16.125000,21.424175,0,0.000000,0, 202
89, 101,140822,140808,1,1,-0.091899,0.044579,9.941418,-0.090186,-0.221210,0.138072,-0.671822,-4.722473,9.242851,-0.415055,0.280982,-1.193178,90.746153,-179.221664,-38.068206,0.227990,-0.233228,0.670154,0.666722,1308.363770,87026.835938,0.192244,-0.015433,0.625977,-0.061035,-0.070648,16.125000,21.482952,0,0.000000,0, 202
90, 101,142963,142942,1,1,-0.094551,-0.190427,9.950081,0.002012,-0.031291,0.151303,-1.632874,-4.722473,9.242851,0.479471,-0.733300,-0.357851,90.701483,-178.904060,-38.385124,0.227518,-0.237445,0.661438,0.674059,1308.419434,87023.789062,0.259018,0.138494,0.625977,-0.005371,-0.096095,16.250000,21.537207,0,0.000000,0, 202
91, 101,145146,145133,1,1,-0.109058,-0.195179,9.958583,-0.002020,-0.003819,0.160091,-0.191296,-5.202998,10.684429,0.057611,0.427575,-0.048349,90.505382,-178.796539,-38.725731,0.228505,-0.240408,0.661791,0.672326,1308.493164,87022.804688,-0.153730,0.003422,0.625977,0.068359,0.090810,16.250000,21.586939,0,0.000000,0, 202
92, 101,147256,147234,1,1,-0.101775,-0.207380,9.958513,0.002643,0.005188,0.160191,-0.671822,-5.202998,10.203903,0.362942,1.113332,-0.023376,90.519261,-178.805091,-39.450828,0.232792,-0.244557,0.659869,0.671247,1308.440063,87023.875000,0.062941,-0.031734,0.625977,0.015259,-0.000262,16.375000,21.632151,0,0.000000,0, 202
