checksum, eulerx, eulery, euler z, accelx, accely, accel z, gyro x, gyro y, gyro z, altitude, vvel, lyra uptime, errorflag MP, errorflag NAV, state, uptime reciver, dataage,checksum2
AB,90.527334,-178.762826,-17.761692,-0.140000,-0.170000,9.950000,0.000000,0.000000,0.000000,0.010000,0.080000,37308,1,1,0,1065207,4,CD
AB,90.527334,-178.762826,-18.334649,-0.080000,-0.190000,9.940000,0.000000,-0.010000,0.000000,0.000000,-0.480000,37844,1,1,0,1065743,4,CD
AB,90.527334,-178.762826,-18.334649,-0.120000,-0.210000,9.940000,0.000000,0.020000,0.000000,0.000000,-0.230000,38380,1,1,0,1066279,4,CD
AB,90.527334,-178.762826,-18.334649,-0.090000,-0.190000,9.940000,0.000000,0.000000,0.000000,0.000000,0.170000,38916,1,1,0,1066815,3,CD
AB,90.527334,-178.762826,-18.334649,-0.100000,-0.190000,9.940000,0.000000,-0.010000,0.000000,0.000000,-0.230000,39452,1,1,0,1067351,3,CD
AB,90.527334,-178.762826,-18.334649,-0.090000,-0.210000,9.940000,0.010000,0.000000,0.000000,0.010000,0.170000,39988,1,1,0,1067887,3,CD
AB,90.527334,-178.762826,-18.334649,-0.090000,-0.190000,9.930000,0.000000,0.000000,-0.010000,0.000000,-0.760000,40525,1,1,0,1068424,3,CD
AB,90.527334,-178.762826,-18.907608,-0.110000,-0.180000,9.940000,0.000000,0.000000,-0.010000,0.000000,-0.340000,41061,1,1,0,1068959,3,CD
AB,90.527334,-178.762826,-18.907608,-0.100000,-0.190000,9.950000,0.000000,0.020000,-0.010000,-0.010000,-0.950000,41577,1,1,0,1069628,3,CD
AB,90.527334,-178.762826,-18.907608,-0.110000,-0.200000,9.930000,0.000000,0.040000,-0.020000,0.000000,-0.300000,42266,1,1,0,1070165,4,CD
AB,90.527334,-178.762826,-18.907608,-0.080000,-0.210000,9.930000,0.010000,0.020000,0.000000,-0.010000,-0.250000,42802,1,1,0,1070701,4,CD
AB,90.527334,-178.762826,-18.907608,-0.110000,-0.200000,9.960000,-0.010000,0.000000,-0.010000,0.000000,0.630000,43338,1,1,0,1071237,4,CD
