index," checksum",uptime mp,uptime nav,"  errorflag mp",errorflag NAV,"  accel x"," accel y"," accel z"," accelworld x"," accelworld y"," accelworld z"," accelhighg x"," accelhighg y"," accelhighg z"," gyro x"," gyro y"," gyro z"," euler x"," euler y"," euler z"," quat w"," quat x"," quat y"," quat z"," altitude"," presusre"," verticalvel",filtered vvel," maxalt"," altitudeagl"," filtered alt"," imutemp"," barotemp",state,battstate,pyros fired," checksum2\r"
1516," 101",24651,24610,1,1,-5.975283,7.611125,-0.699682,0.257325,0.496545,0.128022,-5.957607,2.485415,-0.367666,-13.793163,-11.614108,-21.422216,17.169692,72.936161,-60.094190,0.732743,-0.190364,0.568842,-0.321354,1306.870605,87039.210938,-0.198050,-0.124549,0.696777,0.413330,0.326816,12.375000,17.194731,0,0.000000,0," 202"
1517," 101",26840,26821,1,1,-6.517168,7.428012,-1.015523,0.023702,-0.013220,0.132750,-6.918659,1.043838,-0.848191,-1.190716,-0.806681,-1.115989,34.949053,79.461178,-75.700633,0.697007,-0.191751,0.623115,-0.298563,1306.932373,87039.617188,0.515925,-0.122393,0.696777,0.475098,0.377296,12.500000,17.230936,0,0.000000,0," 202"
1518," 101",28972,28944,1,1,-6.173901,7.629849,-1.250050,0.061074,-0.017576,0.092950,-6.438133,2.485415,-1.328717,0.342214,2.314644,1.136370,34.791679,76.553150,-72.996089,0.713051,-0.165204,0.614099,-0.295209,1306.797485,87040.992188,-0.050032,0.120529,0.696777,0.340210,0.355872,12.500000,17.267141,0,0.000000,0," 202"
1519," 101",31109,31068,1,1,-6.620528,7.482045,-0.915938,0.153598,-0.014330,-0.081933,-6.438133,2.965941,-2.289769,-4.649662,5.179973,-3.497236,26.412557,78.911429,-67.780461,0.704942,-0.198548,0.611926,-0.298633,1306.853882,87041.039062,0.008549,0.019020,0.696777,0.396606,0.374113,12.500000,17.325974,0,0.000000,0," 202"
1520," 101",33247,33243,1,1,-6.047177,7.837405,-1.387227,0.005456,0.355311,0.188564,-5.477081,3.926993,-2.289769,-3.804864,-11.676029,-6.685580,50.873745,79.941750,-90.139379,0.684120,-0.178234,0.642751,-0.295100,1306.765381,87042.890625,0.101826,0.078293,0.696777,0.308105,0.398941,12.625000,17.393854,0,0.000000,0," 202"
1521," 101",35389,35375,1,1,-5.476768,8.101298,-0.097263,-0.013998,-0.112274,-0.022315,-5.957607,3.926993,0.112860,1.520491,2.798629,1.876748,3.165696,78.742772,-36.503806,0.739365,-0.178319,0.608888,-0.225383,1306.618042,87043.070312,0.375233,0.039693,0.696777,0.160767,0.146170,12.625000,17.443634,0,0.000000,0," 202"
1522," 101",37534,37502,1,1,-5.233128,8.593991,-0.467182,-0.511794,-0.108167,0.258172,-5.957607,2.965941,-0.367666,3.775317,11.725372,7.063722,178.868516,97.529357,150.775784,0.720488,-0.162381,0.638775,-0.215627,1306.527954,87045.273438,-0.306331,-0.092817,0.696777,0.070679,0.145287,12.625000,17.488888,0,0.000000,0," 202"
1523," 101",39693,39684,1,1,-5.558162,7.998674,0.014257,0.094986,0.091754,-0.061662,-6.438133,3.926993,-0.367666,4.047470,0.232423,1.096897,2.204048,80.201919,-37.593703,0.727973,-0.193584,0.614410,-0.234691,1306.370239,87048.382812,-0.721969,-0.276884,0.696777,-0.087036,-0.006668,12.625000,17.538668,0,0.000000,0," 202"
1524," 101",41900,41867,1,1,-6.390296,7.398453,-0.806044,-0.505784,-0.582166,-0.022045,-6.438133,3.446467,-1.328717,7.486747,13.168081,8.108903,18.957031,83.360341,-55.938723,0.701986,-0.198987,0.636967,-0.248783,1306.406982,87042.554688,-0.600817,0.189045,0.696777,-0.050293,0.012149,12.750000,17.597496,0,0.000000,0," 202"
1525," 101",44061,44060,1,1,-6.478786,6.698925,-1.357572,0.289202,0.165471,-0.389185,-6.438133,2.004889,-0.367666,-0.357623,-16.287979,-0.342745,74.560572,79.623053,-119.462085,0.643031,-0.205463,0.658642,-0.332397,1306.684082,87045.656250,0.326589,0.378047,0.696777,0.226807,0.107033,12.750000,17.647272,0,0.000000,0," 202"
1526," 101",46144,46114,1,1,-7.145072,6.351892,2.385019,2.318144,0.066680,-0.224537,-8.360237,1.524364,4.918118,-3.314333,-17.460042,-20.398845,167.192772,91.897743,143.589100,0.654255,-0.292021,0.631330,-0.296811,1306.716064,87042.828125,-0.356224,-0.027145,0.696777,0.258789,0.335126,12.750000,17.701574,0,0.000000,0," 202"
1527," 101",48229,48207,1,1,-0.764844,3.044016,8.001977,-0.478967,0.246828,-1.222403,0.769756,-0.878266,6.359696,38.763591,37.148958,25.852853,104.865896,169.468236,-155.112790,0.792857,-0.561764,0.214766,0.098359,1306.872925,87042.921875,0.332330,-0.001199,0.696777,0.415649,0.417569,12.750000,17.755875,0,0.000000,0," 202"
1528," 101",50324,50303,1,1,0.853482,-0.178347,9.898726,0.898920,-0.230315,0.092630,3.172385,-5.683524,10.203903,1.146428,-5.303124,-14.848751,90.455146,179.766672,-178.217640,0.709845,-0.704184,0.012399,0.009608,1307.054565,87043.921875,1.834646,0.304544,0.793091,0.597290,0.421434,12.875000,17.814701,0,0.000000,0," 202"
1529," 101",52419,52403,1,1,0.231042,-0.094300,9.941237,0.016173,-0.017556,0.143340,-0.191296,-5.202998,10.203903,-0.237820,0.350973,0.181348,89.574113,-178.755299,-179.300361,0.703799,-0.710278,-0.003829,0.012528,1307.047119,87036.125000,0.093287,0.008283,0.812134,0.589844,0.524006,12.875000,17.873526,0,0.000000,0," 202"
1530," 101",54516,54504,1,1,0.210288,-0.071356,9.946531,0.008609,-0.001249,0.148006,-0.671822,-4.722473,8.762325,0.310451,0.239538,0.003505,89.606167,-178.835103,-179.531563,0.704601,-0.709520,-0.004263,0.010093,1307.158691,87040.945312,0.606692,0.374732,0.983887,0.701416,0.753926,13.000000,17.936874,0,0.000000,0," 202"
1531," 101",56624,56614,1,1,0.201643,-0.096740,9.945500,-0.019763,0.001624,0.146995,-0.191296,-4.722473,9.242851,-0.649704,0.438046,-0.074338,89.432086,-178.725328,179.931935,0.703555,-0.710554,-0.008248,0.007486,1307.352539,87035.843750,0.703460,-0.113683,0.983887,0.895264,0.723981,13.125000,18.009272,0,0.000000,0," 202"
1532," 101",58735,58728,1,1,0.195331,-0.099412,9.932465,-0.001724,-0.030169,0.133837,0.769756,-6.164050,9.242851,0.498619,0.961660,0.546636,89.593565,-178.867068,179.638961,0.704579,-0.709550,-0.009202,0.004796,1307.322998,87034.726562,-0.391998,-0.157440,1.142334,0.865723,0.827636,13.125000,18.077143,0,0.000000,0," 202"
1533," 101",60913,60896,1,1,0.207816,-0.068290,9.935272,-0.013087,0.012458,0.136664,0.289230,-5.202998,8.762325,0.248146,-1.261543,0.224211,89.521520,-178.730587,179.380958,0.704137,-0.709957,-0.011636,0.004062,1307.170288,87035.554688,-0.125825,-0.072197,1.142334,0.713013,0.663174,13.250000,18.145014,0,0.000000,0," 202"
1534," 101",63026,63008,1,1,0.232618,-0.086149,9.932361,0.036556,-0.001050,0.134390,-1.152348,-5.202998,8.762325,-0.193946,0.674915,0.211573,89.489043,-178.876835,179.134921,0.703908,-0.710158,-0.013437,0.002813,1307.156860,87038.257812,-0.321752,-0.052425,1.142334,0.699585,0.673703,13.375000,18.217409,0,0.000000,0," 202"
1535," 101",65158,65129,1,1,0.204248,-0.100774,9.948304,0.006340,-0.028421,0.149868,-1.152348,-5.683524,9.723377,0.329354,0.436530,-0.786647,89.561593,-178.871344,178.932802,0.703484,-0.710578,-0.013750,0.000650,1306.949463,87038.328125,-0.637966,-0.217892,1.142334,0.492188,0.612465,13.250000,18.271704,0,0.000000,0," 202"
1536," 101",67303,67288,1,1,0.206644,-0.084883,9.947414,-0.008545,-0.000596,0.148919,0.769756,-4.722473,10.203903,0.413728,0.074652,0.526634,89.482199,-178.774560,178.429225,0.703902,-0.710084,-0.017262,-0.002053,1307.116089,87037.109375,0.195355,0.118225,1.142334,0.658813,0.609955,13.375000,18.344095,0,0.000000,0," 202"
1537," 101",69448,69416,1,1,0.204742,-0.111427,9.939597,-0.029164,-0.013234,0.141278,0.289230,-5.683524,9.723377,-0.668993,-0.184887,-0.563155,89.402272,-178.669771,178.441971,0.702981,-0.711005,-0.016891,-0.002230,1307.017334,87039.726562,0.270422,-0.116250,1.142334,0.560059,0.528221,13.375000,18.421011,0,0.000000,0," 202"
1538," 101",71593,71582,1,1,0.211282,-0.097692,9.949210,-0.017051,-0.010835,0.150912,-0.191296,-4.241947,8.762325,0.164310,-0.993564,-0.035349,89.459181,-178.704960,178.065176,0.703401,-0.710515,-0.019401,-0.004387,1306.772461,87042.492188,-0.233281,-0.178827,1.142334,0.315186,0.414246,13.500000,18.488876,0,0.000000,0," 202"
