checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,440694,440546,0,0,0.948995,1.310449,-5.472256,-3.043904,-1.838691,243.274563,-25.751379,30.928200,-3.683133,-4977.000000,1890.000000,-252.000000,102.286645,73.528626,125.911109,-0.186598,0.618086,-0.384888,0.659555,1337.746948,86079.710938,25.801022,106.782227,106.782227,106.133087,25.250000,27.376974,3,202
101,440909,440687,0,0,1.524870,1.161783,-5.971370,-9.948848,-2.522127,233.416469,-25.506941,30.104364,-39.579071,-4937.000000,1746.000000,-2708.000000,102.286645,73.528626,125.911109,-0.186598,0.618086,-0.384888,0.659555,1340.609985,86064.921875,25.016291,109.645264,109.645264,111.090698,25.250000,27.381647,3,202
101,441067,440877,0,0,1.212875,1.120211,-5.913500,-14.450580,-3.728652,223.706631,-16.560570,29.217594,-63.007893,-3473.000000,1591.000000,-4311.000000,73.691020,74.400335,137.274440,-0.105448,0.624585,-0.268580,0.725699,1343.452637,86035.515625,23.763784,112.487915,112.487915,111.918015,25.375000,27.376974,3,202
101,441174,440877,0,0,1.212875,1.120211,-5.913500,-14.450580,-3.728652,223.706631,-16.560570,29.217594,-63.007893,-3473.000000,1591.000000,-4311.000000,73.691020,74.400335,137.274440,-0.105448,0.624585,-0.268580,0.725699,1343.452637,86035.515625,23.763784,112.487915,112.487915,111.918015,25.375000,27.376974,3,202
101,441277,441051,0,0,0.800614,0.902259,-5.691675,-9.298216,-9.099796,223.027396,-3.635995,27.981838,-67.261032,-1358.000000,1375.000000,-4602.000000,73.691020,74.400335,137.274440,-0.105448,0.624585,-0.268580,0.725699,1345.813477,86022.507812,22.772594,114.848755,114.848755,116.052750,25.375000,27.381647,3,202
101,441389,441051,0,0,0.800614,0.902259,-5.691675,-9.298216,-9.099796,223.027396,-3.635995,27.981838,-67.261032,-1358.000000,1375.000000,-4602.000000,73.691020,74.400335,137.274440,-0.105448,0.624585,-0.268580,0.725699,1345.813477,86022.507812,22.772594,114.848755,114.848755,116.052750,25.375000,27.381647,3,202
101,441497,441227,0,0,0.128668,1.044474,-5.543402,-2.900552,-13.428508,227.123556,6.502004,27.037859,-55.130077,301.000000,1210.000000,-3772.000000,10.572607,100.749211,-82.977168,0.522721,-0.464069,0.613442,-0.367546,1348.234863,85995.562500,22.054600,117.270142,117.270142,116.787712,25.375000,27.419035,3,202
101,441621,441447,0,0,0.289365,0.773165,-5.303064,6.295825,-16.584843,230.097325,13.242337,25.613308,-17.173342,1404.000000,961.000000,-1175.000000,10.572607,100.749211,-82.977168,0.522721,-0.464069,0.613442,-0.367546,1350.382080,85979.710938,20.519087,119.417358,119.417358,121.675941,25.375000,27.405014,3,202
101,441737,441577,0,0,0.852522,0.922887,-5.046448,7.593511,-10.352082,226.048635,10.419097,25.630472,5.407775,942.000000,964.000000,370.000000,159.778042,76.019582,132.730383,0.499928,-0.410008,0.667265,-0.369761,1351.807861,85982.421875,19.192572,120.843140,120.843140,120.477386,25.375000,27.376974,3,202
101,441853,441577,0,0,0.852522,0.922887,-5.046448,7.593511,-10.352082,226.048635,10.419097,25.630472,5.407775,942.000000,964.000000,370.000000,159.778042,76.019582,132.730383,0.499928,-0.410008,0.667265,-0.369761,1351.807861,85982.421875,19.192572,120.843140,120.843140,120.477386,25.375000,27.376974,3,202
