checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,1329039,1328886,0,0,-0.176679,0.492776,9.897152,0.437691,0.641699,-0.427491,-18.632168,40.951550,0.306928,-3812.000000,3642.000000,21.000000,5.699299,-86.958458,71.092550,0.609559,-0.370182,-0.580143,0.393494,1214.530029,87469.914062,0.182008,1.709961,1.547974,1.482700,35.250000,39.325783,0,202
101,1331127,1331001,0,0,-0.183916,0.476317,9.882216,-0.578001,-0.066334,0.016212,-18.705500,40.894337,0.058462,-3824.000000,3632.000000,4.000000,3.485129,-87.059374,68.772915,0.609870,-0.370602,-0.580561,0.391997,1214.427124,87473.929688,0.192332,1.709961,1.445068,1.529514,35.250000,39.353775,0,202
101,1333207,1333022,0,0,-0.167138,0.492009,9.896029,-0.310050,-0.486495,0.128057,-18.748276,40.831406,1.242327,-3831.000000,3621.000000,85.000000,4.111098,-87.005525,69.527439,0.609571,-0.370890,-0.579990,0.393034,1214.446533,87470.304688,0.129614,1.709961,1.464478,1.375287,35.250000,39.363106,0,202
101,1335289,1335169,0,0,-0.170911,0.490525,9.895009,-0.124162,-0.452053,-0.322348,-18.827717,40.900063,-0.029231,-3844.000000,3633.000000,-2.000000,5.516037,-86.994965,70.790430,0.609832,-0.369770,-0.580672,0.392678,1214.317505,87472.773438,-0.037751,1.709961,1.335449,1.340787,35.250000,39.377102,0,202
101,1337377,1337224,0,0,-0.181753,0.486006,9.898289,-0.169842,0.296422,0.016228,-18.461063,40.734150,0.730780,-3784.000000,3604.000000,50.000000,4.755258,-86.940310,70.469281,0.608732,-0.371978,-0.578823,0.395022,1214.198242,87475.484375,-0.123048,1.709961,1.216187,1.239290,35.250000,39.367771,0,202
101,1339465,1339339,0,0,-0.179764,0.490593,9.897302,0.946849,-0.243508,0.317060,-18.509949,40.819965,1.110786,-3792.000000,3619.000000,76.000000,4.390611,-86.966627,69.827640,0.609632,-0.370774,-0.579781,0.393358,1214.317139,87473.429688,0.115391,1.709961,1.335083,1.440017,35.250000,39.395760,0,202
101,1341588,1341449,0,0,-0.172347,0.504644,9.892479,0.929047,0.027268,0.344298,-18.467175,40.739872,0.818474,-3785.000000,3605.000000,56.000000,5.541813,-86.914410,71.143838,0.609080,-0.371107,-0.579216,0.394728,1214.402344,87472.234375,0.007458,1.709961,1.420288,1.421033,35.375000,39.405090,0,202
101,1343657,1343559,0,0,-0.174193,0.496981,9.900965,0.219782,0.321101,0.764133,-18.222738,40.619728,0.803859,-3745.000000,3584.000000,55.000000,4.398428,-87.033289,70.274539,0.607801,-0.373246,-0.578693,0.395449,1214.374023,87472.257812,-0.083954,1.709961,1.391968,1.274354,35.375000,39.414421,0,202
101,1345729,1345581,0,0,-0.177319,0.503499,9.888521,0.661496,-0.447234,-0.079829,-18.296066,40.802803,-0.175387,-3757.000000,3616.000000,-12.000000,4.756503,-86.910011,70.599055,0.608432,-0.372510,-0.578253,0.395816,1214.319580,87473.789062,0.151440,1.709961,1.337524,1.337455,35.375000,39.419086,0,202
101,1347801,1347720,0,0,-0.161527,0.509438,9.894741,-0.490685,0.032011,0.242851,-18.448839,40.659779,1.110786,-3782.000000,3591.000000,76.000000,4.510829,-86.978265,70.123667,0.608948,-0.371676,-0.579293,0.394281,1214.375000,87473.226562,0.090174,1.709961,1.392944,1.484264,35.375000,39.437748,0,202
